genus,group,value,textcolor
Abyssivirga,Matched species,0,'#999999'
Acetatifactor,Matched species,0,'black'
Acetitomaculum,Matched species,0,'#ff66cc'
Anaerobium,Matched species,0,'#ff66cc'
Anaerocolumna,Matched species,0,'#ff66cc'
Anaerotaenia,Matched species,0,'#ff66cc'
Butyrivibrio,Matched species,0,'black'
Catenibacillus,Matched species,0,'black'
Catonella,Matched species,0,'#ff66cc'
Cellulosilyticum,Matched species,0,'#ff66cc'
Falcatimonas,Matched species,0,'#999999'
Frisingicoccus,Matched species,0,'#ff66cc'
Herbinix,Matched species,0,'#ff66cc'
Hespellia,Matched species,0,'#ff66cc'
Howardella,Matched species,0,'#999999'
Johnsonella,Matched species,0,'#ff66cc'
Kineothrix,Matched species,0,'#ff66cc'
Lachnoanaerobaculum,Matched species,0,'#ff66cc'
Lachnobacterium,Matched species,0,'#ff66cc'
Mobilisporobacter,Matched species,0,'#ff66cc'
Mobilitalea,Matched species,0,'#ff66cc'
Moryella,Matched species,0,'#ff66cc'
Muricomes,Matched species,0,'#ff66cc'
Murimonas,Matched species,0,'black'
Natranaerovirga,Matched species,0,'#ff66cc'
Oribacterium,Matched species,0,'#ff66cc'
Parasporobacterium,Matched species,0,'#ff66cc'
Pseudobutyrivibrio,Matched species,0,'#ff66cc'
Schaedlerella,Matched species,0,'#ff66cc'
Sporobacterium,Matched species,0,'#999999'
Sporofaciens,Matched species,0,'#ff66cc'
Stomatobaculum,Matched species,0,'#ff66cc'
Syntrophococcus,Matched species,0,'#999999'
Cuneatibacter,Matched species,0,'#ff66cc'
Extibacter,Matched species,0,'black'
Lachnotalea,Matched species,0,'#ff66cc'
Merdimonas,Matched species,1,'black'
Robinsoniella,Matched species,1,'black'
Shuttleworthia,Matched species,1,'#ff66cc'
Anaerotignum,Matched species,3,'black'
Anaerosacchariphilus,Matched species,0,'black'
Anaerobutyricum,Matched species,3,'black'
Sellimonas,Matched species,8,'black'
Eisenbergiella,Matched species,3,'black'
Anaerostipes,Matched species,13,'black'
Lachnospira,Matched species,0,'black'
Enterocloster,Matched species,5,'black'
Faecalimonas,Matched species,16,'black'
Fusicatenibacter,Matched species,27,'black'
Coprococcus,Matched species,14,'black'
Lacrimispora,Matched species,0,'black'
Agathobacter,Matched species,0,'black'
Roseburia,Matched species,9,'black'
Dorea,Matched species,13,'black'
Mediterraneibacter,Matched species,42,'black'
Faecalicatena,Matched species,2,'black'
Blautia,Matched species,64,'black'
potential-new-genus,Potential new genera,168,'black'
Abyssivirga,Potential new species,0,'#999999'
Acetatifactor,Potential new species,0,'black'
Acetitomaculum,Potential new species,0,'#ff66cc'
Anaerobium,Potential new species,0,'#ff66cc'
Anaerocolumna,Potential new species,0,'#ff66cc'
Anaerotaenia,Potential new species,0,'#ff66cc'
Butyrivibrio,Potential new species,0,'black'
Catenibacillus,Potential new species,0,'black'
Catonella,Potential new species,0,'#ff66cc'
Cellulosilyticum,Potential new species,0,'#ff66cc'
Falcatimonas,Potential new species,0,'#999999'
Frisingicoccus,Potential new species,0,'#ff66cc'
Herbinix,Potential new species,0,'#ff66cc'
Hespellia,Potential new species,0,'#ff66cc'
Howardella,Potential new species,0,'#999999'
Johnsonella,Potential new species,0,'#ff66cc'
Kineothrix,Potential new species,0,'#ff66cc'
Lachnoanaerobaculum,Potential new species,0,'#ff66cc'
Lachnobacterium,Potential new species,0,'#ff66cc'
Mobilisporobacter,Potential new species,0,'#ff66cc'
Mobilitalea,Potential new species,0,'#ff66cc'
Moryella,Potential new species,0,'#ff66cc'
Muricomes,Potential new species,0,'#ff66cc'
Murimonas,Potential new species,0,'black'
Natranaerovirga,Potential new species,0,'#ff66cc'
Oribacterium,Potential new species,0,'#ff66cc'
Parasporobacterium,Potential new species,0,'#ff66cc'
Pseudobutyrivibrio,Potential new species,0,'#ff66cc'
Schaedlerella,Potential new species,0,'#ff66cc'
Sporobacterium,Potential new species,0,'#999999'
Sporofaciens,Potential new species,0,'#ff66cc'
Stomatobaculum,Potential new species,0,'#ff66cc'
Syntrophococcus,Potential new species,0,'#999999'
Cuneatibacter,Potential new species,1,'#ff66cc'
Extibacter,Potential new species,1,'black'
Lachnotalea,Potential new species,1,'#ff66cc'
Merdimonas,Potential new species,0,'black'
Robinsoniella,Potential new species,0,'black'
Shuttleworthia,Potential new species,0,'#ff66cc'
Anaerotignum,Potential new species,0,'black'
Anaerosacchariphilus,Potential new species,5,'black'
Anaerobutyricum,Potential new species,3,'black'
Sellimonas,Potential new species,0,'black'
Eisenbergiella,Potential new species,6,'black'
Anaerostipes,Potential new species,2,'black'
Lachnospira,Potential new species,16,'black'
Enterocloster,Potential new species,21,'black'
Faecalimonas,Potential new species,10,'black'
Fusicatenibacter,Potential new species,0,'black'
Coprococcus,Potential new species,20,'black'
Lacrimispora,Potential new species,34,'black'
Agathobacter,Potential new species,36,'black'
Roseburia,Potential new species,31,'black'
Dorea,Potential new species,28,'black'
Mediterraneibacter,Potential new species,7,'black'
Faecalicatena,Potential new species,53,'black'
Blautia,Potential new species,87,'black'
