genus,group,iacc
Blautia,intra-branches,0.753139515
Blautia,intra-branches,0.907293497
Blautia,inter-branches,0.984451254
Blautia,intra-branches,0.934647798
Blautia,intra-branches,0.934796438
Blautia,intra-branches,0.914060081
Blautia,intra-branches,0.908647031
Blautia,intra-branches,0.912305718
Blautia,intra-branches,0.744406658
Blautia,intra-branches,0.896783722
Blautia,intra-branches,0.744273443
Blautia,intra-branches,0.897128794
Blautia,intra-branches,0.903297754
Blautia,intra-branches,0.74842437
Blautia,intra-branches,0.905744804
Blautia,intra-branches,0.906290116
Blautia,intra-branches,0.904176904
Blautia,intra-branches,0.907227959
Blautia,intra-branches,0.905934889
Blautia,intra-branches,0.907227959
Blautia,intra-branches,0.905641322
Blautia,intra-branches,0.907242694
Blautia,intra-branches,0.905744804
Blautia,intra-branches,0.916272888
Blautia,intra-branches,0.907213219
Blautia,intra-branches,0.934741188
Blautia,inter-branches,0.977245863
Blautia,inter-branches,0.98590573
Blautia,intra-branches,0.934689337
Blautia,intra-branches,0.934668574
Blautia,intra-branches,0.902528736
Blautia,intra-branches,0.907198474
Blautia,intra-branches,0.910833069
Blautia,intra-branches,0.913482791
Blautia,intra-branches,0.911451815
Blautia,intra-branches,0.91574443
Blautia,intra-branches,0.745634563
Blautia,intra-branches,0.910395408
Blautia,inter-branches,0.986063489
Blautia,inter-branches,0.985636734
Blautia,intra-branches,0.764590805
Blautia,intra-branches,0.764274062
Blautia,intra-branches,0.898950941
Blautia,intra-branches,0.752050896
Blautia,intra-branches,0.89857541
Blautia,intra-branches,0.904377523
Blautia,intra-branches,0.904693715
Blautia,intra-branches,0.905754418
Blautia,intra-branches,0.754925272
Blautia,intra-branches,0.892398204
Blautia,intra-branches,0.903802772
Blautia,intra-branches,0.737082601
Blautia,intra-branches,0.771839489
Blautia,intra-branches,0.899094437
Blautia,intra-branches,0.756958942
Blautia,intra-branches,0.910621953
Blautia,intra-branches,0.74058876
Blautia,intra-branches,0.750335121
Blautia,intra-branches,0.901938792
Blautia,intra-branches,0.736111111
Blautia,intra-branches,0.916145181
Blautia,intra-branches,0.739693969
Blautia,intra-branches,0.757811181
Blautia,intra-branches,0.902140199
Blautia,intra-branches,0.902561685
Blautia,intra-branches,0.736832865
Blautia,intra-branches,0.908076267
Blautia,intra-branches,0.791552915
Blautia,intra-branches,0.766788962
Blautia,intra-branches,0.903075189
Blautia,intra-branches,0.898454746
Blautia,intra-branches,0.906073122
Blautia,intra-branches,0.899551153
Blautia,intra-branches,0.898105002
Blautia,intra-branches,0.90950297
Blautia,intra-branches,0.900526904
Blautia,intra-branches,0.898357608
Blautia,inter-branches,0.980269058
Blautia,intra-branches,0.897949057
Blautia,intra-branches,0.89249959
Blautia,intra-branches,0.740043844
Blautia,intra-branches,0.903188502
Blautia,intra-branches,0.737943585
Blautia,intra-branches,0.890824808
Blautia,intra-branches,0.899224806
Blautia,intra-branches,0.736851241
Blautia,inter-branches,0.959957531
Blautia,intra-branches,0.741224928
Blautia,intra-branches,0.741125852
Blautia,intra-branches,0.741397849
Blautia,intra-branches,0.897854785
Blautia,intra-branches,0.896502385
Blautia,intra-branches,0.905051151
Blautia,intra-branches,0.916031653
Blautia,intra-branches,0.749569411
Blautia,intra-branches,0.728617827
Blautia,intra-branches,0.90530891
Blautia,intra-branches,0.741314069
Blautia,intra-branches,0.744662233
Blautia,intra-branches,0.909560724
Blautia,intra-branches,0.902650524
Blautia,intra-branches,0.902914211
Blautia,intra-branches,0.751771824
Blautia,intra-branches,0.902714192
Blautia,inter-branches,0.975
Blautia,inter-branches,0.975177305
Blautia,inter-branches,0.974972965
Blautia,inter-branches,0.975158155
Blautia,intra-branches,0.90727098
Blautia,intra-branches,0.753321002
Blautia,inter-branches,0.979379821
Blautia,intra-branches,0.902872143
Blautia,intra-branches,0.897547346
Blautia,intra-branches,0.902335789
Blautia,intra-branches,0.755630252
Blautia,intra-branches,0.736462729
Blautia,intra-branches,0.90567473
Blautia,intra-branches,0.758597092
Blautia,intra-branches,0.746542972
Blautia,intra-branches,0.907641301
Blautia,intra-branches,0.742988995
Blautia,intra-branches,0.897791904
Blautia,intra-branches,0.747488743
Blautia,intra-branches,0.766753416
Blautia,intra-branches,0.909518582
Blautia,intra-branches,0.909504391
Blautia,intra-branches,0.8994614
Blautia,intra-branches,0.899511401
Blautia,intra-branches,0.755813953
Blautia,intra-branches,0.903361345
Blautia,intra-branches,0.899483247
Blautia,intra-branches,0.756457565
Blautia,intra-branches,0.91663216
Blautia,intra-branches,0.900094399
Blautia,intra-branches,0.740048883
Blautia,intra-branches,0.763487476
Blautia,intra-branches,0.762771958
Blautia,intra-branches,0.752185662
Blautia,intra-branches,0.750952546
Blautia,intra-branches,0.751813472
Blautia,intra-branches,0.905818836
Blautia,intra-branches,0.750809061
Blautia,intra-branches,0.896205357
Blautia,intra-branches,0.905349794
Blautia,intra-branches,0.905334811
Blautia,intra-branches,0.903375658
Blautia,inter-branches,0.980160932
Blautia,intra-branches,0.923747932
Blautia,intra-branches,0.747466071
Blautia,intra-branches,0.899056151
Blautia,intra-branches,0.903595035
Blautia,intra-branches,0.909213888
Blautia,intra-branches,0.905787984
Blautia,intra-branches,0.977322285
Blautia,inter-branches,0.98029233
Blautia,intra-branches,0.905193992
Blautia,inter-branches,0.986001555
Blautia,intra-branches,0.765493216
Blautia,intra-branches,0.911392405
Blautia,intra-branches,0.762965371
Blautia,intra-branches,0.95394664
Blautia,inter-branches,0.986859838
Blautia,intra-branches,0.753318981
Blautia,intra-branches,0.902579267
Blautia,intra-branches,0.764278952
Blautia,intra-branches,0.754775426
Blautia,intra-branches,0.756939743
Blautia,intra-branches,0.976546467
Blautia,intra-branches,0.90793072
Blautia,intra-branches,0.737248028
Blautia,intra-branches,0.907334073
Blautia,inter-branches,0.984346337
Blautia,intra-branches,0.971066409
Blautia,inter-branches,0.982265749
Blautia,inter-branches,0.982940928
Blautia,inter-branches,0.984340592
Blautia,inter-branches,0.979076255
Blautia,inter-branches,0.985961628
Blautia,inter-branches,0.986161851
Blautia,intra-branches,0.909888476
Blautia,inter-branches,0.981662408
Blautia,intra-branches,0.906983931
Blautia,intra-branches,0.908918406
Blautia,intra-branches,0.9048705
Blautia,inter-branches,0.986432384
Blautia,inter-branches,0.985550119
Blautia,intra-branches,0.935292279
Blautia,intra-branches,0.903812961
Blautia,intra-branches,0.89003881
Blautia,intra-branches,0.767955801
Blautia,intra-branches,0.903682264
Blautia,intra-branches,0.772597072
Blautia,intra-branches,0.903604763
Blautia,intra-branches,0.909148365
Blautia,intra-branches,0.908902692
Blautia,intra-branches,0.756556826
Blautia,intra-branches,0.75724577
Blautia,intra-branches,0.755563048
Blautia,intra-branches,0.755184623
Blautia,intra-branches,0.756138581
Blautia,intra-branches,0.7619517
Blautia,intra-branches,0.75162727
Blautia,intra-branches,0.752141144
Blautia,intra-branches,0.773800095
Blautia,intra-branches,0.755592935
Blautia,intra-branches,0.773471009
Blautia,intra-branches,0.772951472
Blautia,intra-branches,0.773153296
Blautia,intra-branches,0.775429116
Blautia,intra-branches,0.773038357
Blautia,intra-branches,0.900129074
Blautia,intra-branches,0.905033393
Blautia,intra-branches,0.77251034
Blautia,inter-branches,0.985978188
Blautia,inter-branches,0.985483493
Blautia,intra-branches,0.744027304
Blautia,intra-branches,0.905249882
Blautia,intra-branches,0.741343127
Blautia,intra-branches,0.738792145
Blautia,intra-branches,0.7611891
Blautia,intra-branches,0.762372938
Blautia,intra-branches,0.914182475
Blautia,intra-branches,0.74393531
Blautia,intra-branches,0.723995494
Blautia,intra-branches,0.914035088
Blautia,intra-branches,0.722864603
Blautia,intra-branches,0.742268041
Blautia,intra-branches,0.742572527
Blautia,intra-branches,0.763875365
