genus,group,value
Abyssivirga,match_species,0
Acetatifactor,match_species,0
Acetitomaculum,match_species,0
Agathobacter,match_species,0
Anaerobium,match_species,0
Anaerobutyricum,match_species,3
Anaerocolumna,match_species,0
Anaerosacchariphilus,match_species,0
Anaerostipes,match_species,13
Anaerotaenia,match_species,0
Anaerotignum,match_species,3
Blautia,match_species,64
Butyrivibrio,match_species,0
Catenibacillus,match_species,0
Catonella,match_species,0
Cellulosilyticum,match_species,0
Coprococcus,match_species,14
Cuneatibacter,match_species,0
Dorea,match_species,13
Eisenbergiella,match_species,3
Enterocloster,match_species,5
Extibacter,match_species,0
Faecalicatena,match_species,2
Faecalimonas,match_species,16
Falcatimonas,match_species,0
Frisingicoccus,match_species,0
Fusicatenibacter,match_species,27
Herbinix,match_species,0
Hespellia,match_species,0
Howardella,match_species,0
Johnsonella,match_species,0
Kineothrix,match_species,0
Lachnoanaerobaculum,match_species,0
Lachnobacterium,match_species,0
Lachnospira,match_species,0
Lachnotalea,match_species,0
Lacrimispora,match_species,0
Mediterraneibacter,match_species,42
Merdimonas,match_species,1
Mobilisporobacter,match_species,0
Mobilitalea,match_species,0
Moryella,match_species,0
Muricomes,match_species,0
Murimonas,match_species,0
Natranaerovirga,match_species,0
Oribacterium,match_species,0
Parasporobacterium,match_species,0
Pseudobutyrivibrio,match_species,0
Robinsoniella,match_species,1
Roseburia,match_species,9
Schaedlerella,match_species,0
Sellimonas,match_species,8
Shuttleworthia,match_species,1
Sporobacterium,match_species,0
Sporofaciens,match_species,0
Stomatobaculum,match_species,0
Syntrophococcus,match_species,0
Abyssivirga,potential-new-species,0
Acetatifactor,potential-new-species,0
Acetitomaculum,potential-new-species,0
Agathobacter,potential-new-species,36
Anaerobium,potential-new-species,0
Anaerobutyricum,potential-new-species,3
Anaerocolumna,potential-new-species,0
Anaerosacchariphilus,potential-new-species,5
Anaerostipes,potential-new-species,2
Anaerotaenia,potential-new-species,0
Anaerotignum,potential-new-species,0
Blautia,potential-new-species,87
Butyrivibrio,potential-new-species,0
Catenibacillus,potential-new-species,0
Catonella,potential-new-species,0
Cellulosilyticum,potential-new-species,0
Coprococcus,potential-new-species,20
Cuneatibacter,potential-new-species,1
Dorea,potential-new-species,28
Eisenbergiella,potential-new-species,6
Enterocloster,potential-new-species,21
Extibacter,potential-new-species,1
Faecalicatena,potential-new-species,53
Faecalimonas,potential-new-species,10
Falcatimonas,potential-new-species,0
Frisingicoccus,potential-new-species,0
Fusicatenibacter,potential-new-species,0
Herbinix,potential-new-species,0
Hespellia,potential-new-species,0
Howardella,potential-new-species,0
Johnsonella,potential-new-species,0
Kineothrix,potential-new-species,0
Lachnoanaerobaculum,potential-new-species,0
Lachnobacterium,potential-new-species,0
Lachnospira,potential-new-species,16
Lachnotalea,potential-new-species,1
Lacrimispora,potential-new-species,34
Mediterraneibacter,potential-new-species,7
Merdimonas,potential-new-species,0
Mobilisporobacter,potential-new-species,0
Mobilitalea,potential-new-species,0
Moryella,potential-new-species,0
Muricomes,potential-new-species,0
Murimonas,potential-new-species,0
Natranaerovirga,potential-new-species,0
Oribacterium,potential-new-species,0
Parasporobacterium,potential-new-species,0
Pseudobutyrivibrio,potential-new-species,0
Robinsoniella,potential-new-species,0
Roseburia,potential-new-species,31
Schaedlerella,potential-new-species,0
Sellimonas,potential-new-species,0
Shuttleworthia,potential-new-species,0
Sporobacterium,potential-new-species,0
Sporofaciens,potential-new-species,0
Stomatobaculum,potential-new-species,0
Syntrophococcus,potential-new-species,0
potential-new-genus,potential-new-genus,168
