Gene,group
ppdK,1core
rex1,1core
spoIIID,1core
prfC,1core
srrA_1,1core
clpP,1core
glnS,1core
ybiT_2,1core
ywlF,1core
rpsQ,1core
rpsU,1core
minE,1core
minD,1core
mreB_1,1core
rnfA,1core
rnfC,1core
group_153,1core
guaB,1core
ntpG,1core
group_160,1core
group_161,1core
rplD,1core
rpsC,1core
rpmC,1core
rplE,1core
rpsJ,1core
rpsN1,1core
infA,1core
rpmJ,1core
rpsK,1core
rpmD,1core
rplO,1core
rpsM,1core
rpsD,1core
rplQ,1core
rpsI,1core
rny,1core
rpsO,1core
rplL,1core
mreB_2,1core
rpmE,1core
walR_3,1core
lepA,1core
rlmL,1core
serS,1core
carD_2,1core
fusA_2,1core
rpoB,1core
hup,1core
nrdD_1,1core
group_209,1core
icd,1core
cspA,1core
infC,1core
rplT,1core
leuC,1core
hadB,1core
eno,1core
ndx1,1core
korB,1core
rpsF,1core
rpsR,1core
ntpB,1core
pta,1core
rplB,1core
rplV,1core
rplF,1core
rpsE,1core
rplU,1core
rplA,1core
rplK,1core
group_381,1core
rpsP,1core
secA,1core
rplS,1core
rpsL,1core
group_433,1core
sigA,1core
rpmF,1core
rpsS,1core
rplP,1core
rplN,1core
rpoA,1core
rpmA,1core
group_75,1core
tal,1core
rpsG,1core
tcyC,1core
tuf,1core
gltD,1core
argR,1core
rpsB,1core
rpsT,2overlap
group_199,2overlap
carB_2,2overlap
rbr3A,2overlap
group_7,2overlap
rpmI,2overlap
hadI,2overlap
smpB,2overlap
groS,2overlap
tsf,2overlap
prfB,2overlap
asnS,2overlap
dtd,2overlap
walR_1,2overlap
der_2,2overlap
guaA,2overlap
dnaK,2overlap
uvrA,2overlap
group_362,2overlap
rpsH,2overlap
ftsE,2overlap
murR,2overlap
hppA1,2overlap
ffh,2overlap
bfmBAB,2overlap
tgt,2overlap
gltC_1,2overlap
groL,2overlap
rnfB,2overlap
bcd_2,2overlap
kal_2,2overlap
group_193,2overlap
rpmH,2overlap
carE,2overlap
group_215,2overlap
ydbD,2overlap
dnaC_1,2overlap
gapA_2,2overlap
tsaD,2overlap
group_840,2overlap
group_1497,2overlap
group_320,2overlap
group_322,2overlap
dnaG_2,2overlap
group_612,2overlap
rpoZ,2overlap
group_2063,2overlap
group_442,2overlap
group_443,2overlap
group_823,2overlap
mgsA,2overlap
group_838,2overlap
group_854,2overlap
group_855,2overlap
group_857,2overlap
group_2091,2overlap
group_4842,2overlap
yafQ,2overlap
group_5002,2overlap
group_5007,2overlap
group_837,2overlap
group_839,2overlap
