Blautia_wexlerae,Agathobacter_rectalis,Bariatricus_comes,Blautia_obeum,Anaerostipes_hadrus,Blautia_massiliensis,Fusicatenibacter_saccharivorans,Mediterraneibacter_faecis,Dorea_formicigenerans,Dorea_longicatena,Enterocloster_clostridioformis,Clostridium_Q_sp003024715,Enterocloster_bolteae,CAG-81_sp900066535,Ruminococcus_gnavus,Faecalimonas_umbilicata,Blautia_sp003471165,RUG115_sp900066395,Ruminococcus_A_sp003011855,Sellimonas_intestinalis,Coprococcus_eutactus,Coprococcus_sp900066115,Eisenbergiella_tayi,Lachnospira_eligens_A,Roseburia_intestinalis,Blautia_faecis,Dorea_longicatena_B,Anaerobutyricum_hallii,Agathobacter_faecis,Mediterraneibacter_torques,Acetatifactor_sp900066565,Roseburia_inulinivorans,Schaedlerella_sp900066545,Blautia_sp900066335,Hungatella_effluvii,UBA7182_sp003480725,UMGS1375_sp900066615,Anaerostipes_caccae,CAG-81_sp900066785,Blautia_obeum_B,Faecalimonas_phoceensis
3375,3103,3276,3414,3223,3618,3658,3012,3732,2737,5146,2706,6184,3733,3468,3150,4057,2669,3260,3000,2770,2779,6376,2856,3895,3644,3233,2963,3296,2694,3744,3420,3212,3295,6543,3299,2875,3434,2891,3442,3426
3705,3161,3417,3414,2780,3664,3271,2794,3005,2974,4793,2421,5984,3369,3219,2959,4061,2828,3129,2904,2821,2783,6441,3091,3977,4149,3110,2829,3184,2879,3852,3566,2719,3165,6624,3303,2989,3434,3070,3376,2504
3855,2940,3155,3076,3447,3478,3507,3011,2684,3045,5100,2422,5601,3593,3441,2864,3863,2805,3015,3021,2778,2379,6344,3100,3726,3992,3190,3199,3485,2603,3765,4031,2940,3447,6577,3401,2808,3342,3268,3235,2506
3563,3574,3323,3659,3011,3081,3519,3030,3359,2802,5079,2769,5730,3261,3101,2598,3607,3033,3503,3302,2661,2454,6488,2839,4235,3607,3055,2887,3247,2422,3770,3449,3147,3298,6566,2988,2930,3390,3113,3562,2936
3353,3104,2860,3104,2877,3052,3543,3910,3313,2846,4912,2839,5737,3558,3692,3029,3745,2868,3764,3305,2827,2533,6458,2830,4067,3964,3414,3210,3725,2717,3776,3579,3165,3383,6549,3112,2938,3415,3231,3558,3721
3615,2654,3052,3511,3140,3321,3564,2705,3210,2958,5100,3396,5962,3238,4104,2701,3770,2769,3364,3301,2718,2325,6063,2830,3794,4339,3167,2832,3431,2705,3765,3581,3116,3354,7628,3248,2930,3200,2987,3380,2647
3502,3069,3097,3107,3144,3315,3473,2741,2725,3100,5102,2977,5776,3466,3239,2578,3657,2684,3596,3305,2913,2443,6458,2728,4063,4110,3344,2830,3442,2706,3795,3747,3119,3349,7793,3640,2945,3201,3219,3419,2912
3707,3292,3242,3270,3121,3256,3381,2735,2922,2834,5099,2713,5924,3081,3526,3022,4502,3047,3154,3300,2930,2439,6973,2877,3518,3868,2804,2998,3454,2499,3812,3402,3251,3183,5999,3183,2966,3215,3844,3329,3269
3573,3103,3151,3365,3085,3217,3605,3138,2960,2836,5103,3122,6005,3457,3030,2852,3323,2955,3797,3216,2823,2449,6520,2743,3881,3770,2888,3101,3449,2481,3671,3494,3311,3333,6794,3154,3085,3460,2962,3443,3042
3326,2657,3513,3173,2625,3222,3231,2965,3392,3024,5571,2731,6020,3387,3199,2838,3734,2964,3148,3089,2819,2543,6166,3124,4103,3838,2769,3360,3464,2650,3659,3490,2844,3336,6648,3462,2802,3366,3271,3492,3069
3465,2716,3058,3244,3135,4016,3105,3034,3684,2608,5144,2844,5431,3234,3220,2703,4065,3145,3876,2853,2595,2513,9197,3352,3880,3920,3133,3502,3170,2502,3403,3682,3344,3606,6731,3194,3001,3172,3430,,
3723,3218,3094,3189,3083,3336,3279,3270,2902,3030,5601,2814,5866,3287,3717,3240,3605,2891,3248,3197,2883,2333,7856,3220,4000,4068,2993,2994,3442,2676,3475,3407,3416,3494,6639,3207,3237,,,,
4433,2717,2994,3178,2696,2840,3252,3169,2913,3097,5757,3297,5998,3357,3676,2699,3852,3111,3225,3054,2735,2848,6583,2879,3861,3779,2810,3104,3488,2606,3591,3798,3471,,,,,,,,
3163,2791,3153,3412,3093,2889,3125,3248,2911,3095,5777,3850,5977,3387,3233,3103,3737,2852,3360,3060,2890,2643,6670,2859,3912,3795,3053,2953,3288,2562,,,,,,,,,,,
4252,2719,3330,3421,2777,3075,3253,3015,3256,3095,5221,2922,5605,3248,2774,2925,3577,2963,3657,3180,2666,2663,6637,2876,3699,3677,3147,3394,,,,,,,,,,,,,
3713,2711,3273,3125,2805,3074,3277,3181,3189,2985,5463,2598,5980,3307,2763,2939,4095,3077,3595,3148,2645,2564,6072,2926,3938,3795,2900,,,,,,,,,,,,,,
3726,2727,3126,3123,2806,3079,3277,2976,3238,2982,5463,2701,5812,3310,3373,2680,3713,2824,3752,3134,3049,2691,6071,3120,3995,4587,,,,,,,,,,,,,,,
3875,2721,3070,3203,2806,2900,3262,2861,3243,2993,5175,2904,7615,3483,3727,2678,3855,2821,3169,2994,2740,2522,6657,2974,3634,,,,,,,,,,,,,,,,
3870,2706,2993,3088,2806,2894,3260,3059,3343,2983,5245,2659,5809,3474,2944,2680,4380,3078,3634,3144,2751,2392,,,,,,,,,,,,,,,,,,,
4022,2715,3205,3268,2866,3447,3270,3180,3027,2986,5084,2672,5851,3442,3411,3273,4325,2890,3103,3090,,,,,,,,,,,,,,,,,,,,,
3877,2784,3165,3265,3278,2930,3121,2939,3271,2805,5320,2950,5462,3361,3368,3276,3438,2883,,,,,,,,,,,,,,,,,,,,,,,
3868,2741,3534,3268,2808,3219,3258,2934,3256,2930,5263,2811,5932,3076,4106,2800,,,,,,,,,,,,,,,,,,,,,,,,,
3904,2726,2916,3263,3214,3218,3163,2948,3148,2690,5082,3019,5633,3357,3263,,,,,,,,,,,,,,,,,,,,,,,,,,
3879,2818,2907,3262,2636,3014,3521,2912,3085,3153,5513,3182,5561,3419,3286,,,,,,,,,,,,,,,,,,,,,,,,,,
4269,2726,2943,3606,3288,3309,3782,2722,3313,3152,5592,3066,7309,3828,,,,,,,,,,,,,,,,,,,,,,,,,,,
4246,2703,2927,3582,3297,3754,3166,2899,3479,3167,4957,2951,5557,3725,,,,,,,,,,,,,,,,,,,,,,,,,,,
4262,2705,2949,3460,3120,3268,3733,2819,3039,2945,4972,2778,7429,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4271,3078,2934,3221,3250,3325,3426,2825,2795,2943,5134,3031,5626,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4263,3071,2930,3854,3056,3334,3462,2813,2794,2947,6989,2790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4271,3076,2991,3257,2825,3047,3533,2965,2946,2797,7079,2670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4295,3077,2929,3484,2977,3530,3045,2952,3257,2937,5312,2932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3558,3084,3199,3406,2975,2492,3041,2964,3236,3018,5129,2905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3417,3186,3261,3453,3029,3283,3030,2950,3169,2719,6729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3238,2977,3261,3316,3066,3664,3428,2964,3205,2978,5402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3695,2975,3279,3049,3058,3664,3372,2962,2910,2686,5406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4076,3077,3265,3230,2663,3460,3392,3094,3113,2774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3484,3310,3213,3505,3504,3597,3386,2824,3343,2775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3618,3322,3250,3596,3013,3536,3108,3216,3181,3166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3993,3312,2972,3992,3063,3137,2972,3127,3006,3243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3644,3316,3110,3551,2583,3337,3840,3172,3270,3181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3948,3313,3149,3621,3066,3341,3403,3409,3251,3116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3617,3320,3138,2979,3021,3094,3395,3200,2679,3119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3998,2842,3292,3149,2793,3086,3622,3164,2790,2936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3614,2910,3103,3176,2889,3100,3737,3338,2933,2673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3321,3062,3106,2990,2797,3229,3765,2869,2816,2674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3411,2850,3230,4042,2695,3321,3150,2923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3410,3512,3216,3534,2829,3255,2942,2914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
