#heatmap
!legendTitle	Butyrate pathway-1
!showLegends	1
#!defaultStrokeColor	pink
#!defaultStrokeWidth	2
!colorgradient	white,#1b7837
!colorgradientMarkLabel	0,1,2,3,4,5
# -- heatmap column labels --
!showHeatMapColumnLabel	1
!heatmapColumnLabels	pathway1
# -- heatmap --
!heatmap	margin=0,colwidth=20,roundedcorner=0
# -- show data value
!showdataValue	show=0,fontsize=12,fontitalic=0,textalign=start
1095771.3	1
11861_6_57	1
11861_6_58	1
11861_6_59	1
11861_6_64	5
11861_6_91	4
11861_6_93	5
1232442.3	4
1232444.3	1
1232447.3	5
1232448.3	4
1232450.3	5
1232452.3	1
1232453.3	3
1232457.3	4
1232458.3	4
12718_7_36	1
12718_7_41	1
12718_7_47	4
12718_7_51	4
12718_7_52	3
12718_7_53	5
12718_7_63	1
12718_7_64	5
12718_7_73	4
12718_7_76	5
12718_7_79	3
12718_7_82	1
12718_7_83	5
12718_7_86	1
12718_7_92	5
12718_7_93	1
12718_7_94	1
13154_4_45	5
13414_6_1	1
13414_6_15	1
13414_6_2	4
13414_6_29	5
13414_6_3	4
13414_6_30	1
13414_6_31	2
13414_6_65	1
13414_6_66	1
13414_6_67	4
13414_6_68	4
13414_6_69	1
13414_6_70	5
13470_2_56	2
13470_2_57	4
13470_2_87	2
13470_2_89	5
13470_2_90	1
13470_2_91	1
13470_2_92	4
13470_2_93	1
13670_3_12	5
14207_6_11	5
14207_6_14	4
14207_7_13	1
14207_7_32	5
14207_7_33	1
14207_7_42	1
14207_7_43	1
14207_7_45	4
14207_7_6	5
14207_7_87	5
1519438.3	1
15841_8_85	5
1715004.3	1
18048_1_42	5
18048_1_58	5
18048_1_59	1
18048_1_60	1
18048_1_63	4
18048_1_65	4
18048_1_69	4
18048_1_72	2
18048_1_75	5
18048_1_81	4
18048_1_83	1
18048_1_84	1
18048_1_85	5
18048_1_86	1
18048_1_87	4
18048_1_92	2
18048_1_94	2
18048_2_58	5
18048_2_59	1
18048_2_60	1
18048_2_63	4
18048_2_65	4
18048_2_69	4
18048_2_72	2
18048_2_75	5
18048_2_81	4
18048_2_83	1
18048_2_84	1
18048_2_85	5
18048_2_86	1
18048_2_87	4
18048_2_88	1
18048_2_92	2
18048_2_94	2
18391_1_1	1
18391_1_2	2
20287_6_15	2
20287_6_17	4
20287_6_18	1
20287_6_20	2
20287_6_23	5
20287_6_25	5
20287_6_28	1
20287_6_32	1
20287_6_33	1
20287_6_34	2
20287_6_36	1
20287_6_41	1
20287_6_43	1
20287_6_44	5
20287_6_48	1
20287_6_49	1
20287_6_55	1
20287_6_56	1
20287_6_62	1
20287_6_63	2
20287_6_72	1
20287_6_76	1
20287_6_77	1
20287_6_84	2
20287_6_88	1
20287_6_91	1
20298_3_34	1
20298_3_35	2
20298_3_48	1
20298_3_59	5
20298_3_62	2
20298_3_65	1
20298_3_81	1
20298_3_9	1
20427_4_23	5
20427_4_25	5
20427_4_28	1
2067550.5	1
21673_4_12	1
21673_4_18	5
