feature-1,feature-2,|r|,ng,r_value,fdr_p_value,raw_p_value
Acetatifactor intestinalis AF22-6AC,Acetatifactor sp. AF34-10BH,0.80394,pos,0.80394,0,0
Acetatifactor intestinalis AF22-6AC,Acetatifactor sp. AF46-12NS,0.58661,pos,0.58661,0,0
Acetatifactor sp. AF34-10BH,Acetatifactor sp. AF46-12NS,0.55613,pos,0.55613,0,0
Acetatifactor intestinalis AF22-6AC,Acetatifactor sp. TM11-1A,0.85478,pos,0.85478,0,0
Acetatifactor sp. AF34-10BH,Acetatifactor sp. TM11-1A,0.91548,pos,0.91548,0,0
Acetatifactor sp. AF46-12NS,Acetatifactor sp. TM11-1A,0.59363,pos,0.59363,0,0
Acetatifactor intestinalis AF22-6AC,Agathobacter faecis 21673_4_84,0.36108,pos,0.36108,0,0
Acetatifactor sp. AF34-10BH,Agathobacter faecis 21673_4_84,0.35576,pos,0.35576,0,0
Acetatifactor sp. TM11-1A,Agathobacter faecis 21673_4_84,0.38315,pos,0.38315,0,0
Acetatifactor intestinalis AF22-6AC,Agathobacter faecis GCA_001405615,0.43428,pos,0.43428,0,0
Acetatifactor sp. AF34-10BH,Agathobacter faecis GCA_001405615,0.43213,pos,0.43213,0,0
Acetatifactor sp. TM11-1A,Agathobacter faecis GCA_001405615,0.44927,pos,0.44927,0,0
Agathobacter faecis 21673_4_84,Agathobacter faecis GCA_001405615,0.8938,pos,0.8938,0,0
Acetatifactor intestinalis AF22-6AC,Agathobacter faecis GCA_015550045,0.39663,pos,0.39663,0,0
Acetatifactor sp. AF34-10BH,Agathobacter faecis GCA_015550045,0.39714,pos,0.39714,0,0
Acetatifactor sp. TM11-1A,Agathobacter faecis GCA_015550045,0.41246,pos,0.41246,0,0
Agathobacter faecis 21673_4_84,Agathobacter faecis GCA_015550045,0.83699,pos,0.83699,0,0
Agathobacter faecis GCA_001405615,Agathobacter faecis GCA_015550045,0.88694,pos,0.88694,0,0
Acetatifactor intestinalis AF22-6AC,Agathobacter rectalis AF17-27,0.4816,pos,0.4816,0,0
Acetatifactor sp. AF34-10BH,Agathobacter rectalis AF17-27,0.3675,pos,0.3675,0,0
Acetatifactor sp. AF46-12NS,Agathobacter rectalis AF17-27,0.34925,pos,0.34925,0,0
Acetatifactor sp. TM11-1A,Agathobacter rectalis AF17-27,0.40967,pos,0.40967,0,0
Agathobacter faecis 21673_4_84,Agathobacter rectalis AF17-27,0.52549,pos,0.52549,0,0
Agathobacter faecis GCA_001405615,Agathobacter rectalis AF17-27,0.51956,pos,0.51956,0,0
Agathobacter faecis GCA_015550045,Agathobacter rectalis AF17-27,0.45924,pos,0.45924,0,0
Acetatifactor intestinalis AF22-6AC,Agathobacter rectalis GCA_001406835,0.36468,pos,0.36468,0,0
Agathobacter faecis 21673_4_84,Agathobacter rectalis GCA_001406835,0.46382,pos,0.46382,0,0
Agathobacter faecis GCA_001405615,Agathobacter rectalis GCA_001406835,0.45341,pos,0.45341,0,0
Agathobacter faecis GCA_015550045,Agathobacter rectalis GCA_001406835,0.43997,pos,0.43997,0,0
Agathobacter rectalis AF17-27,Agathobacter rectalis GCA_001406835,0.80077,pos,0.80077,0,0
Acetatifactor intestinalis AF22-6AC,Agathobacter rectalis GCA_013303775,0.34999,pos,0.34999,0,0
Agathobacter faecis 21673_4_84,Agathobacter rectalis GCA_013303775,0.30487,pos,0.30487,0,0
Agathobacter faecis GCA_001405615,Agathobacter rectalis GCA_013303775,0.32323,pos,0.32323,0,0
Agathobacter faecis GCA_015550045,Agathobacter rectalis GCA_013303775,0.31204,pos,0.31204,0,0
Agathobacter rectalis AF17-27,Agathobacter rectalis GCA_013303775,0.65084,pos,0.65084,0,0
Agathobacter rectalis GCA_001406835,Agathobacter rectalis GCA_013303775,0.76028,pos,0.76028,0,0
