cluster,Animal,Environment,Human,group,color
C1,0,0,3,Znone,white
C2,1,0,112,Blautia,#48D1CC
C3,0,0,17,Znone,white
C4,0,0,47,Znone,white
C5,0,0,11,Znone,white
C6,1,0,7,Eisenbergiella,#2E8B57
C7,6,0,28,Enterocloster,#3CB371
C8,3,0,6,Blautia,#48D1CC
C9,0,0,3,Znone,white
C10,0,0,8,Znone,white
C11,1,0,27,Enterocloster,#3CB371
C12,1,0,19,Sellimonas,#F08080
C13,2,0,2,Muricomes,#A0522D
C14,4,0,14,Eisenbergiella,#2E8B57
C15,1,0,7,Blautia,#48D1CC
C16,0,0,3,Znone,white
C17,0,0,3,Znone,white
C18,1,0,2,Muricomes,#A0522D
C19,0,0,96,Znone,white
C20,0,0,18,Znone,white
C21,0,0,15,Znone,white
C22,0,0,45,Znone,white
C23,0,0,14,Znone,white
C24,0,0,8,Znone,white
C25,0,0,12,Znone,white
C26,0,0,2,Znone,white
C27,0,0,50,Znone,white
C28,0,0,2,Znone,white
C29,0,0,7,Znone,white
C30,0,0,1,Znone,white
C31,0,0,4,Znone,white
C32,0,0,19,Znone,white
C33,0,0,51,Znone,white
C34,0,0,2,Znone,white
C35,0,0,6,Znone,white
C36,0,0,3,Znone,white
C37,0,0,2,Znone,white
C38,0,0,21,Znone,white
C39,1,0,8,Enterocloster,#3CB371
C40,0,0,60,Znone,white
C41,2,0,43,Dorea,#8FBC8F
C42,0,0,26,Znone,white
C43,0,0,13,Znone,white
C44,0,0,13,Znone,white
C45,0,0,1,Znone,white
C46,0,0,1,Znone,white
C47,0,0,1,Znone,white
C48,0,0,7,Znone,white
C49,1,0,2,Anaerobutyricum,#0000CD
C50,3,0,1,Lachnoclostridium,#EEE8AA
C51,0,0,3,Znone,white
C52,0,0,13,Znone,white
C53,0,0,19,Znone,white
C54,0,0,12,Znone,white
C55,0,0,3,Znone,white
C56,0,0,18,Znone,white
C57,0,0,7,Znone,white
C58,0,0,8,Znone,white
C59,0,0,8,Znone,white
C60,0,0,2,Znone,white
