genus,Animal,Environment,Human,group,color
Acetatifactor,1,0,19,Acetatifactor,#000080
Acetitomaculum,1,0,0,Znone,white
Agathobacter,2,0,114,Agathobacter,#483D8B
Anaerobium,0,1,0,Znone,white
Anaerobutyricum,1,0,17,Anaerobutyricum,#0000CD
Anaerocolumna,0,6,0,Znone,white
Anaerosacchariphilus,0,1,0,Znone,white
Anaerostipes,2,0,74,Anaerostipes,#4682B4
Anaerotignum,7,2,6,Anaerotignum,#B0C4DE
Bariatricus,0,0,63,Znone,white
Bilifractor,1,0,0,Znone,white
Blautia,14,1,368,Blautia,#48D1CC
Butyribacter,0,0,14,Znone,white
Butyrivibrio,56,0,1,Butyrivibrio,#40E0D0
Catenibacillus,0,0,2,Znone,white
Catonella,0,0,1,Znone,white
Cellulosilyticum,2,2,0,Cellulosilyticum,#5F9EA0
Choladocola,1,0,13,Choladocola,#00BFFF
Choladousia,0,0,3,Znone,white
Clostridium,0,0,50,Znone,white
Coprococcus,0,0,54,Znone,white
Copromonas,0,0,48,Znone,white
Cuneatibacter,1,0,0,Znone,white
Diplocloster,0,0,2,Znone,white
Dorea,3,0,106,Dorea,#8FBC8F
Eisenbergiella,5,0,29,Eisenbergiella,#2E8B57
Enterocloster,10,0,84,Enterocloster,#3CB371
Eubacterium,7,0,26,Eubacterium,#20B2AA
Extibacter,1,0,4,Extibacter,#98FB98
Faecalimonas,0,0,34,Znone,white
Fimicola,1,0,0,Znone,white
Fimousia,1,0,0,Znone,white
Frisingicoccus,1,0,0,Znone,white
Fusicatenibacter,1,0,50,Fusicatenibacter,#7FFF00
Hespellia,1,0,0,Znone,white
Hominisplanchenecus,0,0,12,Znone,white
Hungatella,0,0,15,Znone,white
Johnsonella,0,0,1,Znone,white
Kineothrix,2,2,0,Kineothrix,#228B22
Lachnoanaerobaculum,0,0,11,Znone,white
Lachnobacterium,5,0,0,Znone,white
Lachnoclostridium,6,4,14,Lachnoclostridium,#EEE8AA
Lachnospira,5,0,28,Lachnospira,#FFFF00
Lachnotalea,0,2,1,Lachnotalea,#FFD700
Lacrimispora,2,7,3,Lacrimispora,#EEDD82
Limivivens,0,0,4,Znone,white
Marvinbryantia,0,0,5,Znone,white
Mediterraneibacter,7,0,77,Mediterraneibacter,#BC8F8F
Merdimonas,0,0,2,Znone,white
Merdisoma,2,0,4,Merdisoma,#8B4513
Mobilisporobacter,0,1,0,Znone,white
Mobilitalea,0,7,0,Znone,white
Muricomes,6,0,8,Muricomes,#A0522D
Murimonas,1,0,1,Murimonas,#CD853F
Natranaerovirga,0,2,0,Znone,white
Novisyntrophococcus,0,1,0,Znone,white
Oliverpabstia,0,0,21,Znone,white
Oribacterium,6,0,9,Oribacterium,#D2691E
Paralachnospira,0,0,2,Znone,white
Pararoseburia,0,0,3,Znone,white
Parasporobacterium,0,1,0,Znone,white
Pseudobutyrivibrio,22,0,1,Pseudobutyrivibrio,#E9967A
Robinsoniella,1,1,3,Robinsoniella,#FA8072
Roseburia,1,0,38,Roseburia,#FFA500
Ruminococcus,0,0,24,Znone,white
Scatomonas,0,0,2,Znone,white
Schaedlerella,6,0,18,Schaedlerella,#FF7F50
Sellimonas,1,0,21,Sellimonas,#F08080
Shuttleworthia,0,0,3,Znone,white
Sporofaciens,2,0,0,Znone,white
Stomatobaculum,0,0,3,Znone,white
Unannotated,44,3,50,Unannotated,grey
Ventrimonas,0,0,6,Znone,white
Weimeria,2,0,0,Znone,white
Wujia,0,0,9,Znone,white
Zhenhengia,0,0,2,Znone,white
