UHGP_Ko,Lachnospiraceae_Human_GI_Ko
K00001,K00001
K00002,K00002
K00003,K00003
K00004,K00004
K00005,K00005
K00006,K00008
K00007,K00009
K00008,K00010
K00009,K00012
K00010,K00013
K00011,K00014
K00012,K00015
K00013,K00016
K00014,K00018
K00015,K00019
K00016,K00020
K00018,K00021
K00019,K00023
K00020,K00024
K00021,K00027
K00023,K00030
K00024,K00031
K00027,K00033
K00029,K00034
K00030,K00036
K00031,K00038
K00032,K00040
K00033,K00041
K00034,K00042
K00035,K00046
K00036,K00048
K00038,K00052
K00039,K00053
K00040,K00054
K00041,K00055
K00042,K00057
K00043,K00058
K00045,K00059
K00046,K00060
K00048,K00065
K00050,K00067
K00052,K00068
K00053,K00073
K00054,K00074
K00055,K00075
K00057,K00076
K00058,K00077
K00059,K00086
K00060,K00087
K00064,K00088
K00065,K00090
K00066,K00091
K00067,K00096
K00068,K00097
K00073,K00099
K00074,K00100
K00075,K00101
K00077,K00102
K00082,K00104
K00086,K00108
K00087,K00109
K00088,K00111
K00090,K00112
K00091,K00118
K00094,K00121
K00096,K00123
K00097,K00124
K00098,K00125
K00099,K00127
K00100,K00128
K00101,K00130
K00102,K00131
K00103,K00132
K00104,K00133
K00105,K00134
K00106,K00135
K00108,K00138
K00109,K00140
K00111,K00145
K00112,K00146
K00113,K00147
K00114,K00148
K00116,K00150
K00117,K00151
K00118,K00158
K00121,K00161
K00122,K00162
K00123,K00169
K00124,K00170
K00125,K00171
K00126,K00172
K00127,K00174
K00128,K00175
K00129,K00176
K00130,K00177
K00131,K00179
K00132,K00180
K00133,K00183
K00134,K00184
K00135,K00194
K00137,K00196
K00138,K00197
K00139,K00198
K00140,K00209
K00141,K00215
K00145,K00216
K00146,K00217
K00147,K00219
K00148,K00226
K00150,K00230
K00151,K00231
K00153,K00239
K00154,K00240
K00156,K00243
K00157,K00244
K00158,K00248
K00161,K00252
K00162,K00259
K00163,K00260
K00164,K00261
K00166,K00262
K00167,K00263
K00169,K00265
K00170,K00266
K00171,K00278
K00172,K00282
K00174,K00283
K00175,K00284
K00176,K00285
K00177,K00286
K00179,K00287
K00180,K00290
K00183,K00294
K00184,K00297
K00185,K00298
K00186,K00302
K00187,K00303
K00188,K00313
K00189,K00317
K00192,K00329
K00193,K00331
K00194,K00333
K00195,K00334
K00196,K00335
K00197,K00336
K00198,K00337
K00200,K00341
K00201,K00344
K00202,K00347
K00203,K00354
K00204,K00355
K00205,K00356
K00207,K00360
K00208,K00362
K00209,K00366
K00210,K00372
K00211,K00375
K00214,K00382
K00215,K00384
K00216,K00385
K00217,K00390
K00218,K00392
K00219,K00394
K00220,K00395
K00221,K00428
K00223,K00432
K00226,K00433
K00227,K00441
K00228,K00450
K00230,K00452
K00231,K00459
K00232,K00461
K00234,K00473
K00236,K00483
K00239,K00484
K00240,K00505
K00241,K00520
K00242,K00525
K00243,K00526
K00244,K00528
K00245,K00532
K00246,K00533
K00247,K00537
K00248,K00543
K00249,K00547
K00252,K00548
K00253,K00549
K00254,K00554
K00255,K00558
K00256,K00560
K00257,K00561
K00259,K00563
K00260,K00564
K00261,K00566
K00262,K00567
K00263,K00568
K00264,K00571
K00265,K00574
K00266,K00575
K00270,K00590
K00271,K00595
K00273,K00600
K00274,K00602
K00275,K00603
K00276,K00604
K00278,K00605
K00281,K00606
K00282,K00609
K00283,K00610
K00284,K00611
K00285,K00612
K00286,K00615
K00287,K00616
K00288,K00620
K00290,K00622
K00293,K00625
K00294,K00626
K00297,K00627
K00298,K00632
K00299,K00633
K00301,K00634
K00302,K00638
K00303,K00639
K00304,K00640
K00305,K00645
K00308,K00646
K00311,K00647
K00313,K00648
K00314,K00651
K00315,K00652
K00316,K00655
K00317,K00656
K00318,K00657
K00319,K00658
K00320,K00661
K00322,K00662
K00323,K00663
K00324,K00666
K00325,K00670
K00326,K00671
K00329,K00674
K00330,K00675
K00331,K00681
K00332,K00684
K00333,K00688
K00334,K00689
K00335,K00690
K00336,K00691
K00337,K00692
K00338,K00694
K00339,K00700
K00340,K00701
K00341,K00702
K00342,K00703
K00343,K00705
K00344,K00712
K00346,K00713
K00347,K00721
K00348,K00728
K00349,K00737
K00350,K00745
K00351,K00752
K00354,K00754
K00355,K00756
K00356,K00757
K00357,K00758
K00360,K00759
K00362,K00760
K00363,K00761
K00364,K00762
K00365,K00763
K00366,K00764
K00367,K00765
K00368,K00766
K00370,K00767
K00371,K00768
K00372,K00772
K00373,K00773
K00374,K00783
K00375,K00784
K00376,K00786
K00380,K00788
K00381,K00789
K00382,K00790
K00383,K00791
K00384,K00793
K00385,K00794
K00387,K00796
K00389,K00797
K00390,K00798
K00392,K00800
K00394,K00803
K00395,K00805
K00399,K00806
K00400,K00812
K00401,K00817
K00402,K00820
K00404,K00821
K00405,K00823
K00406,K00824
K00407,K00826
K00410,K00830
K00411,K00831
K00412,K00832
K00413,K00833
