genome,source
1095771.3,Human GI
11861_6_57,Human GI
11861_6_58,Human GI
11861_6_59,Human GI
11861_6_64,Human GI
11861_6_91,Human GI
11861_6_93,Human GI
1232442.3,Animal
1232444.3,Human GI
1232447.3,Human GI
1232448.3,Human GI
1232450.3,Human GI
1232452.3,Animal
1232453.3,Animal
1232457.3,Animal
1232458.3,Animal
12718_7_36,Human GI
12718_7_41,Human GI
12718_7_47,Human GI
12718_7_51,Human GI
12718_7_52,Human GI
12718_7_53,Human GI
12718_7_63,Human GI
12718_7_64,Human GI
12718_7_73,Human GI
12718_7_76,Human GI
12718_7_79,Human GI
12718_7_82,Human GI
12718_7_83,Human GI
12718_7_86,Human GI
12718_7_92,Human GI
12718_7_93,Human GI
12718_7_94,Human GI
13154_4_45,Human GI
13414_6_1,Human GI
13414_6_15,Human GI
13414_6_2,Human GI
13414_6_29,Human GI
13414_6_3,Human GI
13414_6_30,Human GI
13414_6_31,Human GI
13414_6_65,Human GI
13414_6_66,Human GI
13414_6_67,Human GI
13414_6_68,Human GI
13414_6_69,Human GI
13414_6_70,Human GI
13470_2_56,Human GI
13470_2_57,Human GI
13470_2_87,Human GI
13470_2_89,Human GI
13470_2_90,Human GI
13470_2_91,Human GI
13470_2_92,Human GI
13470_2_93,Human GI
13670_3_12,Human GI
14207_6_11,Human GI
14207_6_14,Human GI
14207_7_13,Human GI
14207_7_32,Human GI
14207_7_33,Human GI
14207_7_42,Human GI
14207_7_43,Human GI
14207_7_45,Human GI
14207_7_6,Human GI
14207_7_87,Human GI
1519438.3,Human GI
15841_8_85,Human GI
1715004.3,Human GI
18048_1_42,Human GI
18048_1_58,Human GI
18048_1_59,Human GI
18048_1_60,Human GI
18048_1_63,Human GI
18048_1_65,Human GI
18048_1_69,Human GI
18048_1_72,Human GI
18048_1_75,Human GI
18048_1_81,Human GI
18048_1_83,Human GI
18048_1_84,Human GI
18048_1_85,Human GI
18048_1_86,Human GI
18048_1_87,Human GI
18048_1_92,Human GI
18048_1_94,Human GI
18048_2_58,Human GI
18048_2_59,Human GI
18048_2_60,Human GI
18048_2_63,Human GI
18048_2_65,Human GI
18048_2_69,Human GI
18048_2_72,Human GI
18048_2_75,Human GI
18048_2_81,Human GI
18048_2_83,Human GI
18048_2_84,Human GI
18048_2_85,Human GI
18048_2_86,Human GI
18048_2_87,Human GI
18048_2_88,Human GI
18048_2_92,Human GI
18048_2_94,Human GI
18391_1_1,Human GI
18391_1_2,Human GI
20287_6_15,Human GI
20287_6_17,Human GI
20287_6_18,Human GI
20287_6_20,Human GI
20287_6_23,Human GI
20287_6_25,Human GI
20287_6_28,Human GI
20287_6_32,Human GI
20287_6_33,Human GI
20287_6_34,Human GI
20287_6_36,Human GI
20287_6_41,Human GI
20287_6_43,Human GI
20287_6_44,Human GI
20287_6_48,Human GI
20287_6_49,Human GI
20287_6_55,Human GI
20287_6_56,Human GI
20287_6_62,Human GI
20287_6_63,Human GI
20287_6_72,Human GI
20287_6_76,Human GI
20287_6_77,Human GI
20287_6_84,Human GI
20287_6_88,Human GI
20287_6_91,Human GI
20298_3_34,Human GI
20298_3_35,Human GI
20298_3_48,Human GI
20298_3_59,Human GI
20298_3_62,Human GI
20298_3_65,Human GI
20298_3_81,Human GI
20298_3_9,Human GI
20427_4_23,Human GI
20427_4_25,Human GI
20427_4_28,Human GI
2067550.5,Human GI
21673_4_12,Human GI
21673_4_18,Human GI
21673_4_19,Human GI
21673_4_25,Human GI
21673_4_3,Human GI
21673_4_30,Human GI
21673_4_31,Human GI
21673_4_35,Human GI
21673_4_37,Human GI
21673_4_38,Human GI
21673_4_40,Human GI
21673_4_53,Human GI
21673_4_60,Human GI
21673_4_71,Human GI
21673_4_8,Human GI
21673_4_81,Human GI
21673_4_84,Human GI
21673_4_87,Human GI
245014.3,Human GI
411486.3,Human GI
457412.4,Human GI
59620.57,Human GI
657323.3,Human GI
8080_1_69,Human GI
8080_1_70,Human GI
8080_1_72,Human GI
8080_1_93,Human GI
8080_1_94,Human GI
AF02-12,Human GI
AF02-29,Human GI
AF02-42,Human GI
AF02-47,Human GI
AF04-15,Human GI
AF04-18B,Human GI
AF04-45,Human GI
AF05-27,Human GI
AF05-5,Human GI
AF06-14,Human GI
AF06-19,Human GI
AF07-16,Human GI
AF07-16B,Human GI
AF09-21A,Human GI
AF10-20,Human GI
AF12-11,Human GI
AF12-17LB,Human GI
AF12-19,Human GI
AF12-28,Human GI
AF12-30,Human GI
AF12-40,Human GI
AF12-41,Human GI
AF12-5,Human GI
AF12-8,Human GI
AF13-14A,Human GI
AF13-16,Human GI
AF13-28,Human GI
AF13-37,Human GI
AF14-10,Human GI
AF14-18,Human GI
AF14-23,Human GI
AF14-40,Human GI
AF14-5,Human GI
AF14-52,Human GI
AF14-9AC,Human GI
AF15-17LB,Human GI
AF15-21,Human GI
AF15-31,Human GI
AF15-41,Human GI
AF15-49,Human GI
AF15-50,Human GI
AF15-6B,Human GI
AF16-15,Human GI
AF16-22,Human GI
AF16-25,Human GI
AF16-31,Human GI
AF16-48,Human GI
AF16-5,Human GI
AF17-12,Human GI
AF17-13,Human GI
AF17-2,Human GI
AF17-21AC,Human GI
AF17-22AC,Human GI
AF17-27,Human GI
AF17-7,Human GI
AF17-8AC,Human GI
AF17-9LB,Human GI
AF18-12LB,Human GI
AF18-16LB,Human GI
AF18-18LB,Human GI
AF18-22,Human GI
AF18-27,Human GI
AF18-31LB,Human GI
AF18-47,Human GI
AF18-48,Human GI
AF19-1,Human GI
AF19-10LB,Human GI
AF19-12LB,Human GI
AF19-13,Human GI
AF19-13AC,Human GI
AF19-13LB,Human GI
AF19-16AC,Human GI
AF19-21,Human GI
AF19-22AC,Human GI
AF19-29,Human GI
AF19-2LB,Human GI
AF19-34,Human GI
AF19-3AC,Human GI
AF19-4,Human GI
AF19-4AC,Human GI
AF19-4LB,Human GI
AF19-8AC,Human GI
AF19-9LB,Human GI
AF20-12LB,Human GI
AF20-17LB,Human GI
AF20-18LB,Human GI
AF20-7,Human GI
AF21-14LB,Human GI
AF21-20LB,Human GI
AF21-21,Human GI
AF21-24,Human GI
AF21-25,Human GI
AF21-3,Human GI
AF21-31,Human GI
AF21-42,Human GI
AF22-10,Human GI
AF22-12AC,Human GI
AF22-21,Human GI
AF22-2LB,Human GI
AF22-4AC,Human GI
AF22-5LB,Human GI
AF22-6AC,Human GI
AF22-8AC,Human GI
AF22-9,Human GI
AF23-6LB,Human GI
AF23-8,Human GI
AF24-10LB,Human GI
AF24-13,Human GI
AF24-16,Human GI
AF24-17,Human GI
AF24-23LB,Human GI
AF24-2LB,Human GI
AF24-32LB,Human GI
AF24-4,Human GI
AF24-4LB,Human GI
AF24-7LB,Human GI
AF24-9LB,Human GI
AF25-11,Human GI
AF25-12LB,Human GI
AF25-13,Human GI
AF25-13AC,Human GI
AF25-13LB,Human GI
AF25-15,Human GI
AF25-15LB,Human GI
AF25-17,Human GI
AF25-18LB,Human GI
AF25-21,Human GI
AF25-23LB,Human GI
AF25-24,Human GI
AF25-25LB,Human GI
AF25-28AC,Human GI
AF25-3LB,Human GI
AF26-2,Human GI
AF26-4BH,Human GI
AF27-11AA,Human GI
AF27-12AA,Human GI
AF27-2AA,Human GI
AF27-3,Human GI
AF27-4BH,Human GI
AF27-5AA,Human GI
AF27-8,Human GI
AF27-9,Human GI
AF28-12,Human GI
AF28-15,Human GI
AF29-16BH,Human GI
AF29-2BH,Human GI
AF29-4,Human GI
AF29-8BH,Human GI
AF31-1,Human GI
AF31-13BH,Human GI
AF31-14BH,Human GI
AF31-16BH,Human GI
AF31-17AC,Human GI
AF31-21AC,Human GI
AF31-3BH,Human GI
AF31-8BH,Human GI
AF32-12BH,Human GI
AF32-2AC,Human GI
AF32-4BH,Human GI
AF32-7AC,Human GI
AF33-11,Human GI
AF33-11BH,Human GI
AF33-12,Human GI
AF33-28,Human GI
AF34-10,Human GI
AF34-10BH,Human GI
AF34-13,Human GI
AF34-16,Human GI
AF34-2BH,Human GI
AF34-35BH,Human GI
AF34-4BH,Human GI
AF35-14AC,Human GI
AF35-15,Human GI
AF35-21,Human GI
AF36-10,Human GI
AF36-10AT,Human GI
AF36-15AT,Human GI
AF36-18BH,Human GI
AF36-19BH,Human GI
AF36-1BH,Human GI
AF36-2BH,Human GI
AF36-4,Human GI
AF36-5BH,Human GI
AF36-6,Human GI
AF36-7BH,Human GI
AF37-1,Human GI
AF37-2AT,Human GI
AF37-4,Human GI
AF37-5,Human GI
AF37-5AT,Human GI
AF37-6AC,Human GI
AF37-6AT,Human GI
AF37-7,Human GI
AF38-1,Human GI
AF38-24,Human GI
AF39-14AC,Human GI
AF39-4,Human GI
AF41-18,Human GI
AF41-9,Human GI
AF42-21,Human GI
AF42-3BH,Human GI
AF42-6,Human GI
AF42-8,Human GI
AF42-9BH,Human GI
AF43-10,Human GI
