genome,species,sample,group,abundance,rank
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017411,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017412,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017413,control,0.000208366,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017414,control,0.000222981,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017415,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017416,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017417,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017418,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017419,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017420,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017421,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017422,control,7.09E-05,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017423,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017424,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017426,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017427,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017428,control,0.000509864,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017429,control,0.000960246,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017430,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017431,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017432,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017433,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017434,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017435,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017436,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017437,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017438,control,0.000200511,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017439,control,0.000437588,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017440,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017441,control,5.40E-05,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017442,control,0.000217619,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017443,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017444,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017445,control,0.000138289,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017446,control,0.008818447,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017447,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017448,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017449,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017450,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017451,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017452,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017453,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017454,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017455,control,0.000468583,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017456,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017457,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017458,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017459,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017460,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017461,control,0.000318871,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017462,control,0.000179609,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017463,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017464,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017465,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017466,control,0.000488197,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017467,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017468,control,7.31E-05,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017469,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017470,control,0.000358401,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017471,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017472,control,0.000130344,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017473,control,0.000538322,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017474,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017475,control,1.28E-05,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017476,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017477,control,0.000136216,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017478,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017479,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017481,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017482,control,0.0003557,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017483,control,4.82E-05,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017484,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017485,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017486,control,8.06E-05,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017487,control,0.000757702,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017489,control,0.000400586,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017490,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017491,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017494,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017495,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017499,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017500,control,0.000365901,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017503,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017504,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017506,control,8.19E-05,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017507,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017508,control,0.000187885,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017510,control,0.00015308,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017512,control,0.0003039,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017513,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017514,control,0,1
AM21-18,Ruminococcus_B gnavus AM21-18,ERR2017515,control,0,1
