Pairs,ANI,16S,group,Pairs,cluster
GCA_900112085+1,100,98.251,16Sl,GCA_900112085.fna,316
GCA_000701545+2,97.9003,99.757,A,GCA_000701545.fna,162
GCA_002735305+2,100,99.721,A,GCA_002735305.fna,162
GCA_900096945+3,100,99.213,A,GCA_900096945.fna,299
AF31-17AC+4,86.7479,98.244,N,AF31-17AC.fna,21
AF45-14BH+4,86.4559,98.57,N,AF45-14BH.fna,21
AM34-3LB+4,86.4535,98.853,N,AM34-3LB.fna,21
AM48-23BH+4,86.6099,99.097,N,AM48-23BH.fna,21
AM59-17XD-r+4,86.5487,98.042,N,AM59-17XD-r.fna,21
TM10-1AC+4,86.1397,98.207,N,TM10-1AC.fna,21
12718_7_76+4,86.3072,98.369,N,12718_7_76.fna,21
12718_7_83+4,86.5872,98.177,N,12718_7_83.fna,21
13414_6_29+4,86.4586,97.64,N,13414_6_29.fna,21
14207_7_6+4,86.6018,98.109,N,14207_7_6.fna,21
14207_7_87+4,97.201,99.123,A,14207_7_87.fna,49
GCA_000173975+4,86.4936,98.271,N,GCA_000173975.fna,21
GCA_001405175+4,86.6133,97.608,N,GCA_001405175.fna,21
GCA_001406155+4,86.6377,97.841,N,GCA_001406155.fna,21
GCA_009697165+4,97.9253,99.521,A,GCA_009697165.fna,49
GCA_016586395+4,86.5574,97.828,N,GCA_016586395.fna,21
GCA_018140635+4,86.7805,97.908,N,GCA_018140635.fna,21
GCA_900209925+4,100,98.92,A,GCA_900209925.fna,49
AF31-17AC+5,98.1011,98.165,N,AF31-17AC.fna,21
AF45-14BH+5,98.1215,99.285,N,AF45-14BH.fna,21
AM34-3LB+5,98.0676,97.825,N,AM34-3LB.fna,21
AM48-23BH+5,98.3018,99.226,N,AM48-23BH.fna,21
AM59-17XD-r+5,98.4712,98.165,N,AM59-17XD-r.fna,21
TM10-1AC+5,97.9548,98.532,N,TM10-1AC.fna,21
12718_7_76+5,98.8564,98.488,N,12718_7_76.fna,21
12718_7_83+5,99.8843,98.171,N,12718_7_83.fna,21
13414_6_29+5,98.5737,98.442,N,13414_6_29.fna,21
14207_7_6+5,98.5432,97.967,N,14207_7_6.fna,21
14207_7_87+5,87.1412,97.358,N,14207_7_87.fna,49
GCA_000173975+5,100,98.688,N,GCA_000173975.fna,21
GCA_001405175+5,98.4693,98.937,N,GCA_001405175.fna,21
GCA_001406155+5,98.7555,98.442,N,GCA_001406155.fna,21
GCA_009697165+5,86.654,96.393,N,GCA_009697165.fna,49
GCA_016586395+5,98.4289,98.329,N,GCA_016586395.fna,21
GCA_018140635+5,99.8353,98.577,N,GCA_018140635.fna,21
GCA_900209925+5,86.6805,97.425,N,GCA_900209925.fna,49
GCA_900205915+6,99.1245,99.055,A,GCA_900205915.fna,321
GCA_014202875+7,99.998,100,A,GCA_014202875.fna,265
GCA_014218335+7,100,100,A,GCA_014218335.fna,265
GCA_014218355+8,80.0529,95.514,N,GCA_014218355.fna,266
GCA_900143645+8,100,99.607,A,GCA_900143645.fna,333
GCA_003363435+9,100,100,A,GCA_003363435.fna,224
AF12-30+10,78.7852,94.521,N,AF12-30.fna,188
AM10-38+10,78.6899,96.281,N,AM10-38.fna,27
AM21-21+10,78.6995,96.942,N,AM21-21.fna,27
AM23-7LB+10,78.675,94.593,N,AM23-7LB.fna,27
AM25-27+10,78.7292,94.593,N,AM25-27.fna,27
AM26-1LB+10,78.4018,94.593,N,AM26-1LB.fna,27
OM02-26+10,78.8177,94.521,N,OM02-26.fna,27
TF10-8AT+10,78.8216,95.931,N,TF10-8AT.fna,27
13154_4_45+10,78.7819,94.376,N,13154_4_45.fna,27
13670_3_12+10,78.3667,94.448,N,13670_3_12.fna,27
14207_7_32+10,78.9689,96.604,N,14207_7_32.fna,45
GCA_000185525+10,78.9584,94.521,N,GCA_000185525.fna,27
GCA_000210695+10,78.4443,94.593,N,GCA_000210695.fna,27
GCA_000332875+10,78.7722,96.615,N,GCA_000332875.fna,27
GCA_000876135+10,78.3374,94.448,N,GCA_000876135.fna,27
GCA_001404655+10,78.5072,94.593,N,GCA_001404655.fna,188
GCA_001404835+10,78.6314,94.521,N,GCA_001404835.fna,27
GCA_001404955+10,78.6625,82.609,N,GCA_001404955.fna,27
GCA_001405635+10,78.3983,94.521,N,GCA_001405635.fna,27
GCA_001405715+10,78.6261,94.521,N,GCA_001405715.fna,27
GCA_001940315+10,79.4052,95.52,N,GCA_001940315.fna,198
GCA_001998765+10,78.4499,94.448,N,GCA_001998765.fna,27
GCA_008416325+10,78.6103,96.246,N,GCA_008416325.fna,27
GCA_013302355+10,78.5739,92.979,N,GCA_013302355.fna,27
GCA_013302445+10,78.9265,93.791,N,GCA_013302445.fna,27
GCA_013302455+10,78.4598,94.219,N,GCA_013302455.fna,27
GCA_013302465+10,78.5105,96.57,N,GCA_013302465.fna,27
GCA_013302475+10,78.3812,92.765,N,GCA_013302475.fna,27
GCA_013302525+10,78.5353,94.43,N,GCA_013302525.fna,27
GCA_013302545+10,78.5615,94.593,N,GCA_013302545.fna,27
GCA_013302555+10,78.5628,94.47,N,GCA_013302555.fna,27
GCA_013302565+10,78.6112,94.593,N,GCA_013302565.fna,27
GCA_013302595+10,78.6535,96.543,N,GCA_013302595.fna,27
GCA_013302605+10,78.7201,92.605,N,GCA_013302605.fna,27
GCA_013302645+10,78.4621,94.593,N,GCA_013302645.fna,27
GCA_013302665+10,78.4339,94.593,N,GCA_013302665.fna,27
GCA_013302675+10,78.2667,92.765,N,GCA_013302675.fna,27
