cluster,Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,type
1,1095771.3,GCA_013301975,67.9,[64.9 - 70.7%],0.0391,74.12,novel
1,1095771.3,GCA_014297245,83,[80.1 - 85.5%],0.0199,92.6,novel
2,GCA_000484655,GCA_013301845,81.8,[78.9 - 84.4%],0.0213,91.87,know
2,GCA_000484655,GCA_013301855,75.6,[72.6 - 78.4%],0.0287,86.47,know
2,GCA_000484655,GCA_013301875,80.5,[77.6 - 83.1%],0.0227,90.98,know
2,GCA_000484655,GCA_013301885,80.6,[77.7 - 83.2%],0.0227,91.01,know
2,GCA_000484655,GCA_013301925,81.8,[79 - 84.4%],0.0212,91.89,know
2,GCA_000484655,GCA_013301935,82.8,[79.9 - 85.3%],0.0201,92.49,know
2,GCA_000484655,GCA_013301945,83,[80.2 - 85.5%],0.0198,92.66,know
2,GCA_000484655,GCA_013301985,82.9,[80.1 - 85.4%],0.0199,92.6,know
2,GCA_000484655,GCA_013302025,80.6,[77.6 - 83.2%],0.0227,91.01,know
2,GCA_000484655,GCA_013302035,84,[81.2 - 86.4%],0.0188,93.18,know
2,GCA_000484655,GCA_013302045,84,[81.2 - 86.4%],0.0188,93.18,know
2,GCA_000484655,GCA_013302085,81.1,[78.2 - 83.7%],0.0221,91.4,know
2,GCA_000484655,GCA_013302095,84,[81.2 - 86.4%],0.0188,93.18,know
2,GCA_000484655,GCA_013302125,84,[81.2 - 86.4%],0.0188,93.19,know
2,GCA_000484655,GCA_013302135,84.2,[81.4 - 86.6%],0.0185,93.3,know
2,GCA_000484655,GCA_013304405,81.7,[78.8 - 84.2%],0.0214,91.78,know
2,GCA_000484655,GCA_013304535,83.3,[80.5 - 85.8%],0.0195,92.8,know
2,GCA_000484655,GCA_013304625,83.7,[80.9 - 86.1%],0.0191,93.02,know
2,GCA_000484655,GCA_013304685,83.5,[80.7 - 85.9%],0.0193,92.91,know
2,GCA_000484655,GCA_013304785,82.9,[80.1 - 85.4%],0.02,92.59,know
2,GCA_000484655,GCA_013304855,83.4,[80.6 - 85.9%],0.0194,92.89,know
2,GCA_000484655,GCA_015549355,82.2,[79.3 - 84.7%],0.0208,92.12,know
2,GCA_000484655,GCA_015550855,83.9,[81.2 - 86.4%],0.0188,93.17,know
2,GCA_000484655,GCA_015550985,82.6,[79.8 - 85.1%],0.0203,92.41,know
2,GCA_000484655,GCA_015551045,81.6,[78.7 - 84.2%],0.0215,91.76,know
2,GCA_000484655,GCA_015552855,83.7,[80.9 - 86.2%],0.019,93.06,know
2,GCA_000484655,GCA_015554555,80.2,[77.2 - 82.8%],0.0232,90.71,know
2,GCA_000484655,GCA_015561285,83.4,[80.6 - 85.9%],0.0194,92.88,know
2,GCA_000484655,GCA_015667495,81.3,[78.4 - 83.9%],0.0218,91.56,know
2,GCA_000484655,GCA_015667985,82.2,[79.3 - 84.7%],0.0208,92.1,know
2,GCA_000484655,GCA_015668165,77.3,[74.3 - 80%],0.0266,88.2,know
2,GCA_000484655,GCA_015668375,81.8,[78.9 - 84.4%],0.0213,91.88,know
2,GCA_000484655,GCA_015669755,80,[77.1 - 82.6%],0.0233,90.59,know
2,GCA_000484655,GCA_015670615,81.2,[78.3 - 83.8%],0.0219,91.49,know
2,GCA_000484655,GCA_900078295,81.6,[78.7 - 84.2%],0.0215,91.74,know
2,GCA_000484655,GCA_902167525,81,[78.1 - 83.6%],0.0222,91.3,know
2,GCA_000484655,GCF_000159975,82.4,[79.5 - 84.9%],0.0206,92.24,know
2,GCA_000484655,OM02-16LB,77,[74 - 79.7%],0.027,87.95,know
2,GCA_000484655,OM05-7,79.6,[76.7 - 82.3%],0.0238,90.28,know
2,GCA_000484655,TF06-23,78.9,[76 - 81.6%],0.0246,89.71,know
2,GCA_000484655,TF11-2AC,82.6,[79.8 - 85.1%],0.0203,92.38,know
2,GCA_000484655,TM09-4,79.3,[76.3 - 81.9%],0.0242,90.01,know
3,GCA_016908695,11861_6_58,76.2,[73.2 - 78.9%],0.028,87.07,know
3,GCA_016908695,14207_7_33,77.8,[74.9 - 80.5%],0.026,88.74,know
3,GCA_016908695,20287_6_72,79.6,[76.7 - 82.3%],0.0238,90.28,know
3,GCA_016908695,21673_4_81,79.4,[76.5 - 82.1%],0.024,90.14,know
3,GCA_016908695,AM42-11,83.3,[80.5 - 85.8%],0.0196,92.8,know
3,GCA_016908695,AM100_BB15A,90.1,[87.8 - 92.1%],0.012,95.85,know
3,GCA_016908695,BF3HA18002,83.4,[80.6 - 85.9%],0.0194,92.86,know
3,GCA_016908695,GCA_013300155,80.5,[77.6 - 83.1%],0.0228,90.97,know
3,GCA_016908695,GCA_013300845,77.1,[74.1 - 79.8%],0.0269,88.01,know
3,GCA_016908695,GCA_013302345,78.5,[75.5 - 81.2%],0.0252,89.32,know
3,GCA_016908695,GCA_013302375,77.8,[74.9 - 80.6%],0.0259,88.76,know
3,GCA_016908695,GCA_013302415,79,[76.1 - 81.7%],0.0245,89.81,know
3,GCA_016908695,GCA_013304475,77.4,[74.4 - 80.1%],0.0265,88.32,know
