#heatmap
!legendTitle	Butyrate pathway
!showLegends	1
#!defaultStrokeColor	pink
#!defaultStrokeWidth	2
!colorgradient	grey, blue
!colorgradientMarkLabel	0,1
# -- heatmap column labels --
!showHeatMapColumnLabel	1
!heatmapColumnLabels	Thl,Hdb,Cro,Bcd,But,Ptb,Buk
# -- heatmap --
!heatmap	colwidth=100
GCA_900248245	1,1,1,1,0,1,1
GCA_003584705	1,1,1,1,0,1,1
GCA_014337175	1,1,1,1,0,1,1
13414_6_67	1,1,1,1,0,1,1
13470_2_92	1,1,1,1,0,1,1
18048_1_81	1,1,1,1,0,1,1
18048_1_87	1,1,1,1,0,1,1
18048_2_81	1,1,1,1,0,1,1
18048_2_87	1,1,1,1,0,1,1
20287_6_17	1,1,1,1,0,1,1
AF22-6AC	1,1,1,1,0,1,1
AF34-10BH	1,1,1,1,0,1,1
AF36-18BH	1,1,1,1,0,1,1
AF46-12NS	1,1,1,1,0,1,1
AF46-9NS	1,1,1,1,0,1,1
AM34-9AC	1,1,1,1,0,1,1
AM59-13	1,1,1,1,0,1,1
OM08-11AC	1,1,1,1,0,1,1
TF08-15	1,1,1,1,0,1,1
TM11-1A	1,1,1,1,0,1,1
GCA_900209925	1,1,1,1,1,0,0
GCA_018140635	1,1,1,1,1,0,0
GCA_000173975	1,1,1,1,1,0,0
GCA_001405175	1,1,1,1,1,0,0
GCA_001406155	1,1,1,1,1,0,0
GCA_016586395	1,1,1,1,1,0,0
GCA_009697165	1,1,1,1,1,0,0
12718_7_76	1,1,1,1,1,0,0
12718_7_83	1,1,1,1,1,0,0
13414_6_29	1,1,1,1,1,0,0
14207_7_6	1,1,1,1,1,0,0
14207_7_87	1,1,1,1,1,0,0
AF31-17AC	1,1,1,1,1,0,0
AF45-14BH	1,1,1,1,1,0,0
AM34-3LB	1,1,1,1,1,0,0
AM48-23BH	1,1,1,1,1,0,0
AM59-17XD-r	1,1,1,1,1,0,0
TM10-1AC	1,1,1,1,1,0,0
GCA_000210555	1,1,1,1,1,0,0
GCA_001404315	1,1,1,1,0,1,1
GCA_001406175	1,1,1,1,0,1,1
GCA_001405115	1,1,1,1,0,1,1
GCA_001404675	1,1,1,1,0,1,1
GCA_000154425	1,1,1,1,0,1,1
GCA_016586415	1,1,1,1,0,1,1
GCA_013301435	1,1,1,1,0,1,1
GCA_013299605	1,1,1,1,0,1,1
GCA_013300105	1,1,1,1,0,1,1
GCA_013301405	1,1,1,1,0,1,1
GCA_014287735	1,1,1,1,0,1,1
GCA_009875795	1,1,1,1,0,1,1
GCA_009875825	1,1,1,1,0,1,1
12718_7_47	1,1,1,1,0,1,1
18048_1_63	1,1,1,1,0,1,1
18048_2_63	1,1,1,1,0,1,1
20287_6_25	1,1,1,1,1,0,0
21673_4_18	1,1,1,1,1,0,0
13414_6_3	1,1,1,1,0,1,1
GCF_000154245	1,1,1,1,0,1,1
AF15-31	1,1,1,1,0,1,1
AF15-41	1,1,1,1,0,1,1
AF16-22	1,1,1,1,0,1,1
AF16-5	1,1,1,1,0,1,1
AF17-13	1,1,1,1,0,1,1
AF17-2	1,1,1,1,0,1,1
AF17-21AC	1,1,1,1,0,1,1
AF19-8AC	1,1,1,1,0,1,1
AF22-21	1,1,1,1,0,1,1
AF22-4AC	1,1,1,1,0,1,1
AF23-6LB	1,1,1,1,0,1,1
AF25-24	1,1,1,1,1,0,0
AF38-1	1,1,1,1,0,1,1
AF45-17	1,1,1,1,1,0,0
AF52-12b2	1,1,1,1,0,1,1
AF63-7pH9-A	1,1,1,1,0,1,1
AF99-32	1,1,1,1,0,1,1
AM100_B1_18_1A	1,1,1,1,1,0,0
AM14-16	1,1,1,1,0,1,1
AM28-39	1,1,1,1,1,0,0
AM46-21	1,1,1,1,0,1,1
AM54-14XD	1,1,1,1,0,1,1
AM54-37XD	1,1,1,1,0,1,1
OF10-22XD	1,1,1,1,0,1,1
OF12-5	1,1,1,1,0,1,1
OF27-16pH10A	1,1,1,1,0,1,1
OM04-5BH	1,1,1,1,0,1,1
OM05-9	1,1,1,1,0,1,1
OM06-25	1,1,1,1,0,1,1
OM06-34AC	1,1,1,1,0,1,1
OM15-82A	1,1,1,1,0,1,1
TF11-13	1,1,1,1,0,1,1
TM14-13A	1,1,1,1,1,0,0
GCA_003363435	1,1,1,1,1,0,0
GCA_015556105	1,1,1,1,0,1,1
GCA_015554215	1,1,1,1,0,1,1
GCA_015558505	1,1,1,1,0,1,1
GCA_015547305	1,1,1,1,0,1,1
GCA_015553595	1,1,1,1,0,1,1
GCA_001404595	1,1,1,1,0,1,1
GCA_001406395	1,1,1,1,0,1,1
GCA_001405795	1,1,1,1,0,1,1
GCA_001404815	1,1,1,1,0,1,1
GCA_000155875	1,1,1,1,0,1,1
GCA_015548425	1,1,1,1,0,1,1
GCA_015556185	1,1,1,1,0,1,1
GCA_015548735	1,1,1,1,0,1,1
GCA_015552615	1,1,1,1,0,1,1
GCA_015554465	1,1,1,1,0,1,1
GCA_015552445	1,1,1,1,0,1,1
GCA_015560155	1,1,1,1,0,1,1
GCA_015554275	1,1,1,1,0,1,1
GCA_015550485	1,1,1,1,0,1,1
GCA_013361125	1,1,1,1,0,1,1
GCA_016904155	1,1,1,1,0,1,1
GCA_015549285	1,1,1,1,0,1,1
GCA_013301605	1,1,1,1,0,1,1
GCA_013301565	1,1,1,1,0,1,1
GCA_013301545	1,1,1,1,0,1,1
GCA_013301505	1,1,1,1,0,1,1
GCA_013301515	1,1,1,1,0,1,1
GCA_013301525	1,1,1,1,0,1,1
GCA_013301475	1,1,1,1,0,1,1
GCA_013300745	1,1,1,1,0,1,1
GCA_013299755	1,1,1,1,0,1,1
GCA_013300725	1,1,1,1,0,1,1
GCA_013301465	1,1,1,1,0,1,1
GCA_013300635	1,1,1,1,0,1,1
GCA_013299745	1,1,1,1,0,1,1
GCA_013300605	1,1,1,1,0,1,1
GCA_013299685	1,1,1,1,0,1,1
GCA_013299665	1,1,1,1,0,1,1
GCA_013300315	1,1,1,1,0,1,1
GCA_013299545	1,1,1,1,0,1,1
GCA_013300465	1,1,1,1,0,1,1
GCA_013300095	1,1,1,1,0,1,1
GCA_013299925	1,1,1,1,0,1,1
GCA_013300805	1,1,1,1,0,1,1
GCA_900086725	1,1,1,1,0,1,1
13470_2_57	1,1,1,1,0,1,1
18048_1_65	1,1,1,1,0,1,1
18048_2_65	1,1,1,1,0,1,1
GF3HA05001B	1,1,1,1,0,1,1
AF16-31	1,1,1,1,0,1,1
AF18-12LB	1,1,1,1,0,1,1
AF51-11b1	1,1,1,1,0,1,1
AF99-45	1,1,1,1,0,1,1
AM100_B19A	1,1,1,1,0,1,1
AM11-30B	1,1,1,1,0,1,1
AM22-12LB	1,1,1,1,0,1,1
AM23-3	1,1,1,1,0,1,1
AM97-35	1,1,1,1,0,1,1
LG101-27	1,1,1,1,0,1,1
TF06-38A	1,1,1,1,0,1,1
TM07-19	1,1,1,1,0,1,1
BF3HA28004B	1,1,1,1,0,1,1
PF3HA28002B	1,1,1,1,0,1,1
GCA_004340975	1,1,1,1,1,0,0
GCA_014202115	1,1,1,1,1,0,1
20298_3_59	1,1,1,1,1,0,1
GCA_900199595	1,1,1,1,0,1,1
GCA_000703065	1,1,1,1,0,1,1
GCA_000687975	1,1,1,1,0,1,1
GCA_000702245	1,1,1,1,0,1,1
GCA_000702845	1,0,0,1,1,0,0
GCA_900110635	1,1,1,1,0,1,1
GCA_000687695	1,1,1,1,1,0,0
GCA_000687655	1,1,1,1,0,1,1
AF10-20	1,1,1,1,0,1,1
AF15-50	1,1,1,1,0,1,1
AF16-48	1,1,1,1,0,1,1
AF17-7	1,1,1,1,0,1,1
AF19-12LB	1,1,1,1,0,1,1
AF34-35BH	1,1,1,1,0,1,1
AF36-4	1,1,1,1,1,0,0
AF36-5BH	1,1,1,1,0,1,1
AF37-4	1,1,1,1,0,1,1
AF37-5	1,1,1,1,1,0,0
AF99-11	1,1,1,1,1,0,1
AM23-22	1,1,1,1,0,1,1
AM32-23AC	1,1,1,1,0,1,1
AM40-7BH	1,1,1,1,0,1,1
AM42-30	1,1,1,1,0,1,1
AM43-2	1,1,1,1,0,1,1
AM44-11BH	1,1,1,1,0,1,1
AM53-3	1,1,1,1,0,1,1
AM53-6	1,1,1,1,1,0,0
AM59-42XD-r	1,1,1,1,0,1,1
AM67-19LNA	1,1,1,1,1,0,1
OF09-6XD	1,1,1,1,0,1,1
OF14-22SRA	1,1,1,1,0,1,1
OF14-2A	1,1,1,1,0,1,1
OM02-15	1,1,1,1,1,0,1
TM12-19A	1,1,1,1,0,1,1
GCA_000732725	1,1,1,1,0,1,1
GCA_004345255	1,1,1,1,0,1,1
GCA_000403275	1,1,1,0,0,1,1
GCA_009911195	1,1,1,1,0,1,1
GCA_001717125	1,1,1,1,0,1,1
GCA_001881565	1,1,1,1,0,1,1
GCA_001722575	1,1,1,1,0,1,1
GCA_001722585	1,1,1,1,0,1,1
GCA_001722635	1,1,1,1,0,1,1
GCA_001717135	1,1,1,1,0,1,1
GCA_001722655	1,1,1,1,0,1,1
GCA_900243045	1,1,1,1,0,1,1
GCA_002180435	1,1,1,1,0,1,1
GCA_000218405	1,1,1,1,0,1,1
GCA_900113595	1,1,1,1,0,1,1
GCA_000471825	1,1,1,1,0,1,1
GCA_000471745	1,1,1,1,0,1,1
11861_6_91	1,1,1,1,0,1,1
12718_7_73	1,1,1,1,0,1,1
GCF_000466465	1,1,1,1,0,1,1
GCF_000820745	1,1,1,1,0,1,1
1232457.3	1,1,1,1,0,1,1
1232458.3	1,1,1,1,0,1,1
14207_7_45	1,1,1,1,0,1,1
18048_1_69	1,1,1,1,0,1,1
18048_2_69	1,1,1,1,0,1,1
AF16-15	1,1,1,1,0,1,1
AF26-4BH	1,1,1,1,0,1,1
AF36-19BH	1,1,1,1,0,1,1
AF53-12MH-2A	1,1,1,1,0,1,1
AF73-11pH9TA	1,1,1,1,0,1,1
AM46-4BH	1,1,1,1,0,1,1
OF01-20	1,1,1,1,0,1,1
OM02-3	1,1,1,1,0,1,1
OM02-31	1,1,1,1,0,1,1
TF05-5AC	1,1,1,1,0,1,1
TF09-5	1,1,1,1,0,1,1
TM09-10	1,1,1,1,0,1,1
GCA_011317135	1,1,0,1,0,0,1
GCA_013304305	1,1,0,1,0,0,1
GCA_000158075	0,0,0,1,0,0,0
GCA_015557875	1,0,0,1,0,1,1
GCA_015547745	1,0,0,1,0,1,1
GCA_015558345	1,0,0,1,0,0,1
GCA_000371725	1,1,0,1,0,1,1
GCA_000371705	1,0,0,1,0,1,1
GCA_000371685	1,0,0,1,0,1,1
GCA_000371665	1,1,0,1,0,1,1
GCA_000371645	1,0,0,1,0,1,1
GCA_002234575	1,1,0,1,0,1,1
GCA_013112035	1,1,0,1,0,1,1
GCA_015551555	1,1,0,1,0,1,1
GCA_015556085	1,1,0,1,0,1,1
GCA_016889665	1,1,0,1,0,1,1
GCA_001078425	1,1,0,1,0,1,1
GCA_900115855	1,0,0,1,0,0,1
GCA_015548445	1,0,0,1,0,0,1
GCA_000233455	1,0,0,1,0,0,1
GCA_001078435	1,0,0,1,0,0,1
GCA_013304275	1,1,1,1,1,0,1
GCA_013304255	1,1,0,1,0,0,0
GCA_013304205	1,1,1,1,1,0,1
GCA_013304245	1,1,1,1,1,0,1
GCA_013304225	1,1,1,1,1,0,1
GCA_013299965	1,1,1,1,1,0,1
GCA_013304185	1,1,1,1,1,0,1
GCA_013304155	1,1,1,1,1,0,1
GCA_013304125	1,1,1,1,1,0,1
GCA_000371605	1,1,1,1,1,0,1
GCA_000371585	1,1,1,1,1,0,1
GCA_000371565	1,1,1,1,1,0,1
GCA_000371545	1,1,1,1,1,0,1
GCA_000371525	1,1,0,1,0,1,1
GCA_000371505	1,1,0,1,0,0,0
GCA_000371485	1,1,1,1,1,0,1
GCA_015548065	1,1,0,1,0,0,0
GCA_005844705	1,1,0,1,0,0,0
GCA_000234155	1,1,0,1,0,0,1
GCA_001405335	1,1,0,1,0,0,0
GCA_000424325	1,1,1,1,0,0,0
GCA_900113155	1,1,0,1,0,0,0
GCA_000371405	1,1,1,1,1,0,1
GCA_012273195	1,1,0,1,0,0,1
GCA_015669475	1,0,0,1,0,0,0
GCA_006538465	1,1,0,1,0,0,1
GCA_900447015	1,1,0,1,0,0,0
GCA_900100685	1,1,0,1,0,0,0
GCA_900108895	1,1,0,1,0,0,0
GCA_001078445	1,1,1,1,1,0,1
GCA_016696785	1,1,1,1,1,0,0
GCA_003024655	0,0,0,1,0,0,0
GCA_900102595	0,0,0,1,0,0,1
GCA_001688665	1,1,1,1,1,0,0
11861_6_93	1,1,1,1,1,0,1
12718_7_79	1,1,0,1,0,0,0
13470_2_56	1,0,0,1,0,0,1
14207_6_14	1,1,1,1,0,0,0
18391_1_2	1,0,0,1,0,0,0
21673_4_35	1,0,0,1,0,0,1
GCF_000154365	1,1,0,1,0,1,1
