genome,group,pos,type
GCA_005844305.fna,Clade1,2936436,downstream_gene_variant
GCA_005844305.fna,Clade1,2936556,downstream_gene_variant
GCA_005844305.fna,Clade1,2936622,downstream_gene_variant
GCA_005844305.fna,Clade1,2936964,downstream_gene_variant
GCA_005844305.fna,Clade1,2937024,downstream_gene_variant
GCA_005844305.fna,Clade1,2937081,downstream_gene_variant
GCA_005844305.fna,Clade1,2938708,downstream_gene_variant
GCA_005844305.fna,Clade1,2938897,downstream_gene_variant
GCA_005844305.fna,Clade1,2939155,downstream_gene_variant
GCA_005844305.fna,Clade1,2939392,downstream_gene_variant
GCA_005844305.fna,Clade1,2939419,downstream_gene_variant
GCA_005844305.fna,Clade1,2939566,downstream_gene_variant
GCA_005844305.fna,Clade1,2939646,downstream_gene_variant
GCA_005844305.fna,Clade1,2939668,downstream_gene_variant
GCA_005844305.fna,Clade1,2939704,downstream_gene_variant
GCA_005844305.fna,Clade1,2939833,downstream_gene_variant
GCA_005844305.fna,Clade1,2941358,downstream_gene_variant
GCA_005844305.fna,Clade1,2941389,downstream_gene_variant
GCA_005844305.fna,Clade1,2941498,synonymous_variant
GCA_005844305.fna,Clade1,2941499,missense_variant
GCA_005844305.fna,Clade1,2941503,missense_variant
GCA_005844305.fna,Clade1,2941510,missense_variant
GCA_005844305.fna,Clade1,2941515,missense_variant
GCA_005844305.fna,Clade1,2941523,missense_variant
GCA_005844305.fna,Clade1,2941524,missense_variant
GCA_005844305.fna,Clade1,2941528,synonymous_variant
GCA_005844305.fna,Clade1,2941534,synonymous_variant
GCA_005844305.fna,Clade1,2941535,missense_variant
GCA_005844305.fna,Clade1,2941540,synonymous_variant
GCA_005844305.fna,Clade1,2941542,missense_variant
GCA_005844305.fna,Clade1,2941555,synonymous_variant
GCA_005844305.fna,Clade1,2941561,synonymous_variant
GCA_005844305.fna,Clade1,2941615,synonymous_variant
GCA_005844305.fna,Clade1,2941621,missense_variant
GCA_005844305.fna,Clade1,2941627,synonymous_variant
GCA_005844305.fna,Clade1,2941639,synonymous_variant
GCA_005844305.fna,Clade1,2941654,synonymous_variant
GCA_005844305.fna,Clade1,2941693,synonymous_variant
GCA_005844305.fna,Clade1,2941816,synonymous_variant
GCA_005844305.fna,Clade1,2941948,missense_variant
GCA_005844305.fna,Clade1,2942757,missense_variant
GCA_005844305.fna,Clade1,2942767,synonymous_variant
GCA_005844305.fna,Clade1,2942862,missense_variant
GCA_005844305.fna,Clade1,2942905,synonymous_variant
GCA_005844305.fna,Clade1,2943112,synonymous_variant
GCA_005844305.fna,Clade1,2943506,upstream_gene_variant
GCA_009680195.fna,Clade1,2936622,downstream_gene_variant
GCA_009680195.fna,Clade1,2936679,downstream_gene_variant
GCA_009680195.fna,Clade1,2936964,downstream_gene_variant
GCA_009680195.fna,Clade1,2937024,downstream_gene_variant
GCA_009680195.fna,Clade1,2937045,downstream_gene_variant
GCA_009680195.fna,Clade1,2937066,downstream_gene_variant
GCA_009680195.fna,Clade1,2937075,downstream_gene_variant
GCA_009680195.fna,Clade1,2938792,downstream_gene_variant
GCA_009680195.fna,Clade1,2938873,downstream_gene_variant
GCA_009680195.fna,Clade1,2938897,downstream_gene_variant
GCA_009680195.fna,Clade1,2939044,downstream_gene_variant
GCA_009680195.fna,Clade1,2939155,downstream_gene_variant
GCA_009680195.fna,Clade1,2939392,downstream_gene_variant
GCA_009680195.fna,Clade1,2939419,downstream_gene_variant
GCA_009680195.fna,Clade1,2939566,downstream_gene_variant
GCA_009680195.fna,Clade1,2939646,downstream_gene_variant
GCA_009680195.fna,Clade1,2939668,downstream_gene_variant
GCA_009680195.fna,Clade1,2939833,downstream_gene_variant
GCA_009680195.fna,Clade1,2939845,downstream_gene_variant
GCA_009680195.fna,Clade1,2941358,downstream_gene_variant
GCA_009680195.fna,Clade1,2941389,downstream_gene_variant
GCA_009680195.fna,Clade1,2941498,synonymous_variant
GCA_009680195.fna,Clade1,2941499,missense_variant
GCA_009680195.fna,Clade1,2941503,missense_variant
GCA_009680195.fna,Clade1,2941510,missense_variant
GCA_009680195.fna,Clade1,2941515,missense_variant
GCA_009680195.fna,Clade1,2941523,missense_variant
GCA_009680195.fna,Clade1,2941524,missense_variant
GCA_009680195.fna,Clade1,2941528,synonymous_variant
GCA_009680195.fna,Clade1,2941534,synonymous_variant
GCA_009680195.fna,Clade1,2941535,missense_variant
GCA_009680195.fna,Clade1,2941540,synonymous_variant
GCA_009680195.fna,Clade1,2941542,missense_variant
GCA_009680195.fna,Clade1,2941555,synonymous_variant
GCA_009680195.fna,Clade1,2941561,synonymous_variant
GCA_009680195.fna,Clade1,2941615,synonymous_variant
GCA_009680195.fna,Clade1,2941621,missense_variant
GCA_009680195.fna,Clade1,2941627,synonymous_variant
GCA_009680195.fna,Clade1,2941639,synonymous_variant
GCA_009680195.fna,Clade1,2941654,synonymous_variant
GCA_009680195.fna,Clade1,2941693,synonymous_variant
GCA_009680195.fna,Clade1,2941816,synonymous_variant
GCA_009680195.fna,Clade1,2941948,missense_variant
GCA_009680195.fna,Clade1,2942719,synonymous_variant
GCA_009680195.fna,Clade1,2942757,missense_variant
GCA_009680195.fna,Clade1,2942767,synonymous_variant
GCA_009680195.fna,Clade1,2942769,missense_variant
GCA_009680195.fna,Clade1,2942862,missense_variant
GCA_009680195.fna,Clade1,2943015,missense_variant
GCA_009680195.fna,Clade1,2943027,missense_variant
GCA_009680195.fna,Clade1,2943033,missense_variant
GCA_009680195.fna,Clade1,2943040,synonymous_variant
GCA_009680195.fna,Clade1,2943058,synonymous_variant
GCA_009680195.fna,Clade1,2943078,missense_variant
GCA_009680195.fna,Clade1,2943097,synonymous_variant
GCA_009680195.fna,Clade1,2943106,synonymous_variant
GCA_009680195.fna,Clade1,2943112,synonymous_variant
GCA_009680195.fna,Clade1,2943175,synonymous_variant
GCA_009680195.fna,Clade1,2943270,missense_variant
GCA_009680195.fna,Clade1,2943278,missense_variant
GCA_009680195.fna,Clade1,2943283,synonymous_variant
GCA_009680195.fna,Clade1,2943301,synonymous_variant
GCA_009680195.fna,Clade1,2943302,stop_gained
GCA_009680195.fna,Clade1,2943303,missense_variant
GCA_009680195.fna,Clade1,2943305,missense_variant
GCA_009680195.fna,Clade1,2943309,synonymous_variant
GCA_009680195.fna,Clade1,2943311,missense_variant
GCA_009680195.fna,Clade1,2943319,synonymous_variant
GCA_009680195.fna,Clade1,2943376,synonymous_variant
GCA_009680195.fna,Clade1,2943415,synonymous_variant
GCA_009680195.fna,Clade1,2943506,upstream_gene_variant
GCA_013299645.fna,Clade1,2936505,downstream_gene_variant
GCA_013299645.fna,Clade1,2936622,downstream_gene_variant
GCA_013299645.fna,Clade1,2936964,downstream_gene_variant
GCA_013299645.fna,Clade1,2937024,downstream_gene_variant
GCA_013299645.fna,Clade1,2937045,downstream_gene_variant
