#heatmap
!legendTitle	Propionate pathway-2
!showLegends	1
#!defaultStrokeColor	pink
#!defaultStrokeWidth	2
!colorgradient	#c2a5cf,#9970ab
!colorgradientMarkLabel	1,2
# -- heatmap column labels --
!showHeatMapColumnLabel	1
!heatmapColumnLabels	pathway2
# -- heatmap --
!heatmap	margin=0,colwidth=20,roundedcorner=0
# -- show data value
!showdataValue	show=0,fontsize=12,fontitalic=0,textalign=start
1095771.3	2
11861_6_57	2
11861_6_58	2
11861_6_59	2
11861_6_64	2
11861_6_91	2
11861_6_93	2
1232442.3	2
1232444.3	2
1232447.3	2
1232448.3	2
1232450.3	2
1232452.3	2
1232453.3	2
1232457.3	2
1232458.3	2
12718_7_36	2
12718_7_41	2
12718_7_47	2
12718_7_51	2
12718_7_52	2
12718_7_53	2
12718_7_63	2
12718_7_64	2
12718_7_73	2
12718_7_76	2
12718_7_79	2
12718_7_82	2
12718_7_83	2
12718_7_86	2
12718_7_92	2
12718_7_93	2
12718_7_94	2
13154_4_45	2
13414_6_1	2
13414_6_15	2
13414_6_2	2
13414_6_29	2
13414_6_3	2
13414_6_30	2
13414_6_31	2
13414_6_65	2
13414_6_66	2
13414_6_67	2
13414_6_68	2
13414_6_69	2
13414_6_70	2
13470_2_56	2
13470_2_57	2
13470_2_87	2
13470_2_89	2
13470_2_90	2
13470_2_91	2
13470_2_92	2
13470_2_93	2
13670_3_12	2
14207_6_11	2
14207_6_14	2
14207_7_13	2
14207_7_32	2
14207_7_33	2
14207_7_42	2
14207_7_43	2
14207_7_45	2
14207_7_6	2
14207_7_87	2
1519438.3	2
15841_8_85	2
1715004.3	2
18048_1_42	2
18048_1_58	2
18048_1_59	2
18048_1_60	2
18048_1_63	2
18048_1_65	2
18048_1_69	2
18048_1_72	2
18048_1_75	2
18048_1_81	2
18048_1_83	2
18048_1_84	2
18048_1_85	2
18048_1_86	2
18048_1_87	2
18048_1_92	2
18048_1_94	2
18048_2_58	2
18048_2_59	2
18048_2_60	2
18048_2_63	2
18048_2_65	2
18048_2_69	2
18048_2_72	2
18048_2_75	2
18048_2_81	2
18048_2_83	2
18048_2_84	2
18048_2_85	2
18048_2_86	2
18048_2_87	2
18048_2_88	2
18048_2_92	2
18048_2_94	2
18391_1_1	2
18391_1_2	2
20287_6_15	2
20287_6_17	2
20287_6_18	2
20287_6_20	2
20287_6_23	2
20287_6_25	1
20287_6_28	2
20287_6_32	2
20287_6_33	2
20287_6_34	2
20287_6_36	2
20287_6_41	2
20287_6_43	2
20287_6_44	2
20287_6_48	2
20287_6_49	2
20287_6_55	2
20287_6_56	2
20287_6_62	2
20287_6_63	2
20287_6_72	2
20287_6_76	2
20287_6_77	2
20287_6_84	2
20287_6_88	2
20287_6_91	2
20298_3_34	1
20298_3_35	2
20298_3_48	2
20298_3_59	2
20298_3_62	2
20298_3_65	2
20298_3_81	2
20298_3_9	2
20427_4_23	2
20427_4_25	2
20427_4_28	2
2067550.5	2
21673_4_12	2
21673_4_18	1
21673_4_19	2
21673_4_25	2
21673_4_3	2
21673_4_30	2
21673_4_31	2
21673_4_35	2
21673_4_37	2
21673_4_38	2
21673_4_40	2
21673_4_53	2
21673_4_60	2
21673_4_71	2
21673_4_8	2
21673_4_81	2
21673_4_84	2
21673_4_87	2
245014.3	2
411486.3	2
457412.4	2
59620.57	2
657323.3	2
8080_1_69	2
8080_1_70	2
8080_1_72	2
8080_1_93	2
8080_1_94	2
AF02-12	2
AF02-29	2
AF02-42	2
AF02-47	2
AF04-15	2
AF04-18B	2
AF04-45	2
AF05-27	2
AF05-5	2
AF06-14	2
AF06-19	2
AF07-16	2
AF07-16B	2
AF09-21A	2
AF10-20	2
AF12-11	2
AF12-17LB	2
AF12-19	2
AF12-28	2
AF12-30	2
AF12-40	2
AF12-41	2
AF12-5	2
AF12-8	2
AF13-14A	2
AF13-16	2
AF13-28	2
AF13-37	2
AF14-10	2
AF14-18	2
AF14-23	2
AF14-40	2
AF14-5	2
AF14-52	2
AF14-9AC	2
AF15-17LB	2
AF15-21	2
AF15-31	2
AF15-41	2
AF15-49	2
AF15-50	2
AF15-6B	2
AF16-15	2
AF16-22	2
AF16-25	2
AF16-31	2
AF16-48	2
AF16-5	2
AF17-12	2
AF17-13	2
AF17-2	2
AF17-21AC	2
AF17-22AC	2
AF17-27	2
AF17-7	2
AF17-8AC	2
AF17-9LB	2
AF18-12LB	2
AF18-16LB	2
AF18-18LB	2
AF18-22	2
AF18-27	2
AF18-31LB	2
AF18-47	2
AF18-48	2
AF19-1	2
AF19-10LB	2
AF19-12LB	2
AF19-13	2
AF19-13AC	2
AF19-13LB	2
AF19-16AC	2
AF19-21	2
AF19-22AC	2
AF19-29	2
AF19-2LB	1
AF19-34	2
AF19-3AC	2
AF19-4	2
AF19-4AC	2
AF19-4LB	2
AF19-8AC	2
AF19-9LB	2
AF20-12LB	2
AF20-17LB	2
AF20-18LB	2
AF20-7	2
AF21-14LB	2
AF21-20LB	2
AF21-21	2
AF21-24	2
AF21-25	2
AF21-3	2
AF21-31	2
AF21-42	2
AF22-10	2
AF22-12AC	2
AF22-21	2
AF22-2LB	2
AF22-4AC	2
AF22-5LB	2
AF22-6AC	2
AF22-8AC	2
AF22-9	2
AF23-6LB	2
AF23-8	2
AF24-10LB	2
AF24-13	2
AF24-16	2
AF24-17	2
AF24-23LB	2
AF24-2LB	2
AF24-32LB	2
AF24-4	2
AF24-4LB	2
AF24-7LB	2
AF24-9LB	2
AF25-11	2
AF25-12LB	2
AF25-13	2
AF25-13AC	2
AF25-13LB	2
AF25-15	2
AF25-15LB	2
AF25-17	2
AF25-18LB	2
AF25-21	2
AF25-23LB	2
AF25-24	2
AF25-25LB	2
AF25-28AC	2
AF25-3LB	2
AF26-2	2
AF26-4BH	2
AF27-11AA	2
AF27-12AA	2
AF27-2AA	2
AF27-3	2
AF27-4BH	2
AF27-5AA	2
AF27-8	2
AF27-9	2
AF28-12	2
AF28-15	2
AF29-16BH	2
AF29-2BH	2
AF29-4	2
