#heatmap
!legendTitle	Butyrate pathway-2
!showLegends	1
#!defaultStrokeColor	pink
#!defaultStrokeWidth	2
!colorgradient	white,#1b7837
!colorgradientMarkLabel	0,1,2,3,4,5,6
# -- heatmap column labels --
!showHeatMapColumnLabel	1
!heatmapColumnLabels	pathway2
# -- heatmap --
!heatmap	margin=0,colwidth=20,roundedcorner=0
# -- show data value
!showdataValue	show=0,fontsize=12,fontitalic=0,textalign=start
11861_6_64	4
11861_6_91	6
11861_6_93	5
1232442.3	5
1232447.3	4
1232448.3	5
1232450.3	6
1232457.3	6
1232458.3	6
12718_7_41	3
12718_7_47	6
12718_7_51	4
12718_7_53	4
12718_7_64	4
12718_7_73	6
12718_7_76	4
12718_7_83	4
12718_7_92	4
13154_4_45	4
13414_6_2	6
13414_6_29	4
13414_6_3	6
13414_6_67	6
13414_6_68	6
13414_6_70	4
13470_2_57	6
13470_2_89	4
13470_2_92	6
13670_3_12	4
14207_6_11	4
14207_6_14	4
14207_7_32	4
14207_7_45	6
14207_7_6	4
14207_7_87	4
15841_8_85	4
18048_1_42	4
18048_1_58	4
18048_1_63	6
18048_1_65	6
18048_1_69	6
18048_1_75	4
18048_1_81	6
18048_1_85	4
18048_1_87	6
18048_2_58	4
18048_2_63	6
18048_2_65	6
18048_2_69	6
18048_2_75	4
18048_2_81	6
18048_2_85	4
18048_2_87	6
20287_6_17	6
20287_6_23	4
20287_6_25	4
20287_6_34	2
20287_6_44	4
20287_6_63	2
20298_3_59	5
20427_4_23	4
20427_4_25	4
21673_4_18	4
21673_4_71	4
21673_4_84	4
245014.3	4
411486.3	4
59620.57	4
8080_1_70	4
8080_1_72	5
8080_1_93	4
AF02-12	4
AF02-29	4
AF02-42	4
AF02-47	3
AF04-45	4
AF06-19	4
AF10-20	6
AF12-17LB	4
AF12-19	4
AF12-28	4
AF12-30	4
AF12-40	4
AF12-41	4
AF12-8	4
AF14-10	4
AF15-21	4
AF15-31	6
AF15-41	6
AF15-49	6
AF15-50	6
AF15-6B	6
AF16-15	6
AF16-22	6
AF16-25	6
AF16-31	6
AF16-48	6
AF16-5	6
AF17-13	6
AF17-2	6
AF17-21AC	6
AF17-27	4
AF17-7	6
AF18-12LB	6
AF18-16LB	4
AF18-18LB	4
AF19-12LB	6
AF19-2LB	2
AF19-3AC	4
AF19-4	4
AF19-8AC	6
AF20-17LB	4
AF20-18LB	4
AF20-7	4
AF21-20LB	4
AF21-31	4
AF22-10	4
AF22-12AC	4
AF22-21	6
AF22-2LB	4
AF22-4AC	6
AF22-6AC	6
AF22-8AC	4
AF23-6LB	6
AF23-8	6
AF24-17	4
AF24-2LB	4
AF24-4	4
AF24-9LB	4
AF25-13LB	4
AF25-15	4
AF25-15LB	4
AF25-18LB	4
AF25-24	4
AF25-25LB	4
AF26-4BH	6
AF27-5AA	4
AF28-12	4
AF28-15	4
AF29-8BH	4
AF31-17AC	4
AF31-21AC	4
AF32-7AC	4
AF34-10BH	6
AF34-13	3
AF34-16	4
AF34-35BH	6
AF35-15	4
AF36-10	4
AF36-10AT	4
AF36-18BH	6
AF36-19BH	6
AF36-2BH	4
AF36-4	4
AF36-5BH	6
AF36-6	4
AF37-4	6
AF37-5	4
AF37-5AT	4
AF37-7	4
AF38-1	6
AF38-24	4
AF39-14AC	4
AF42-8	4
AF43-10	6
AF45-14BH	4
AF45-17	4
AF46-12NS	6
AF46-9NS	6
AF50-3	4
AF50-8-r	4
AF51-11b1	6
AF51-3-b8A	4
AF51-6-b8A	6
AF51-7-b10A	4
AF52-12b2	6
AF53-12MH-2A	6
AF54-6pH10A	4
AF55-24LNA	4
AF58-20A	4
AF58-5ACA	4
AF58-9ACA	4
AF63-7pH9-A	6
AF66-18pH10TA	4
AF67-03PH9	4
AF67-21pH9TA	3
AF73-11pH9TA	6
AF75-07pH9A	4
AF75-08pH9A	4
AF81-08TA	3
AF88-01pH10A	4
AF90S-19M2BA	4
AF91-09b3A	4
AF92-12TA	4
AF94-39M2A	4
AF96-08pH9A	4
AF96-09pH9TA	4
AF96-14M2BTA	4
AF96-34DTA	4
AF97-08DTA	4
AF99-11	5
AF99-32	6
AF99-45	6
AM100_B1_18_1A	4
AM100_B11A	4
AM100_B19A	6
AM100_B9A	4
AM100_BB17A	4
AM100-PB-1D-18A	4
AM10-38	4
AM10-3A	4
AM10C-15pH9TA	4
AM11-30B	6
AM14-16	6
AM16-11	4
AM16-23	4
AM16-25	3
AM18-55	4
AM18-55-r	4
AM21-16	4
AM21-21	4
AM22-12LB	6
AM22-16AC	4
AM22-21LB	4
AM22-4	4
AM23-20	4
AM23-22	6
AM23-23AC	4
AM23-3	6
AM23-7LB	4
AM25-23AC	4
AM25-27	4
AM26-1LB	4
AM26-2LB	4
AM27-11	4
AM27-28	4
AM27-31LB	3
AM28-20LB	4
AM28-39	4
AM29-10	4
AM29-11AC	4
AM29-6AC	2
AM30-13AC	4
AM30-24	4
AM31-7AC	4
AM32-23AC	6
AM32-8LB	4
AM34-11AC	4
AM34-3LB	4
AM34-9AC	6
AM36-3AA	4
AM37-1AC	4
AM39-1BH	4
AM40-7BH	6
AM42-1	4
AM42-17AT	4
AM42-1AC	4
AM42-30	6
AM42-36	6
AM43-11	4
AM43-2	6
AM43-3BH	4
AM44-11BH	6
AM44-1AT	4
AM44-2AT	4
AM45-5	4
AM46-1BH	4
AM46-21	6
AM46-4BH	6
AM47-6BH	4
AM48-13	4
AM48-23BH	4
AM48-7	4
AM49-4BH	4
AM51-8	3
AM53-12	6
AM53-13BH	4
AM53-3	6
AM53-6	4
AM53-7BH	4
AM54-14XD	6
AM54-25XD	4
AM54-37XD	6
AM58-1XD	6
AM59-13	6
AM59-17XD-r	4
AM59-24XD	4
AM59-42XD-r	6
AM62-3A	4
AM65-20ACA	4
AM67-19LNA	5
AM72-19pH9A	4
AM75-01pH9A	3
AM75-12pH10A	4
AM88-09pH10A	4
AM88-24TA	4
AM93-12TA	4
AM97-21	4
AM97-35	6
AM97-56	4
BF3HA28004B	6
CF03-11TA	4
GCA_000020605	4
GCA_000144625	1
GCA_000145035	6
GCA_000154425	6
GCA_000155875	6
GCA_000156015	6
GCA_000160115	6
GCA_000173975	4
GCA_000174195	4
GCA_000185385	4
GCA_000185525	4
GCA_000185825	4
GCA_000209465	4
GCA_000209815	4
GCA_000209935	4
GCA_000209955	4
GCA_000209995	4
GCA_000210535	3
GCA_000210555	4
GCA_000210655	4
GCA_000210695	4
GCA_000218405	6
GCA_000225345	4
GCA_000235445	4
GCA_000238075	3
GCA_000242235	4
GCA_000242315	4
GCA_000257705	4
GCA_000287675	4
GCA_000296385	4
GCA_000332875	4
GCA_000371405	5
GCA_000371485	5
GCA_000371545	5
GCA_000371565	5
GCA_000371585	5
GCA_000371605	5
GCA_000373885	5
GCA_000403255	5
GCA_000403275	5
GCA_000403315	4
GCA_000403495	6
GCA_000420825	6
GCA_000420845	6
GCA_000420865	6
GCA_000420905	6
GCA_000420925	6
GCA_000420945	6
GCA_000420965	6
GCA_000420985	6
GCA_000421025	4
GCA_000421045	6
GCA_000421405	6
GCA_000423925	6
GCA_000423945	6
GCA_000423965	6
GCA_000423985	6
GCA_000424005	4
GCA_000424125	6
GCA_000424145	6
GCA_000424165	6
GCA_000424265	6
GCA_000424285	6
GCA_000424305	4
GCA_000424325	4
GCA_000424365	6
GCA_000424385	6
GCA_000424405	6
GCA_000424425	6
GCA_000424445	3
GCA_000424465	6
GCA_000424485	6
GCA_000424505	6
GCA_000424525	6
GCA_000424545	6
GCA_000424565	6
GCA_000424585	6
GCA_000471745	6
GCA_000471825	6
GCA_000512995	4
GCA_000524295	6
GCA_000526995	4
GCA_000621405	6
GCA_000621425	6
GCA_000621465	6
GCA_000621565	6
GCA_000621605	6
GCA_000621865	5
GCA_000621905	6
GCA_000621985	4
GCA_000622025	4
GCA_000622065	4
GCA_000622085	6
GCA_000622105	4
GCA_000686065	6
GCA_000686965	6
GCA_000687555	4
GCA_000687655	6
GCA_000687675	6
GCA_000687695	4
GCA_000687975	6
GCA_000701545	5
GCA_000701625	6
GCA_000701765	5
GCA_000701985	6
GCA_000702025	3
GCA_000702085	6
GCA_000702125	6
GCA_000702145	4
GCA_000702245	6
GCA_000702265	6
GCA_000702525	4
GCA_000702685	6
GCA_000702845	2
GCA_000703005	5
GCA_000703065	6
GCA_000703165	6
GCA_000732605	1
GCA_000732725	6
GCA_000746015	6
GCA_000876135	4
GCA_001078445	5
GCA_001312385	1
GCA_001404315	6
GCA_001404595	6
GCA_001404655	4
GCA_001404675	6
GCA_001404815	6
GCA_001404835	4
GCA_001404855	4
GCA_001404955	4
GCA_001405115	6
GCA_001405175	4
GCA_001405295	4
GCA_001405535	4
GCA_001405615	4
GCA_001405635	4
GCA_001405715	4
GCA_001405795	6
GCA_001406155	4
GCA_001406175	6
GCA_001406375	4
GCA_001406395	6
GCA_001406435	4
GCA_001406675	4
GCA_001406815	4
GCA_001406835	4
GCA_001406855	4
GCA_001552975	4
GCA_001561955	2
GCA_001571775	1
GCA_001688665	4
GCA_001717125	6
GCA_001717135	6
GCA_001722575	6
GCA_001722585	6
GCA_001722635	6
GCA_001722655	6
GCA_001858005	6
GCA_001881565	6
GCA_001940165	4
GCA_001940225	4
GCA_001940245	4
GCA_001940315	4
GCA_001998765	4
GCA_002161055	1
GCA_002161375	4
GCA_002180435	6
GCA_002251225	3
GCA_002270485	4
GCA_002735285	5
GCA_002735305	5
GCA_002735565	4
GCA_002797975	1
GCA_002892395	4
GCA_003122495	4
GCA_003175155	6
GCA_003201285	3
GCA_003363435	4
GCA_003574295	4
GCA_003584665	4
GCA_003584705	6
GCA_003589745	4
GCA_003609635	4
GCA_003625475	6
GCA_003625485	6
GCA_003625505	6
GCA_003862485	4
GCA_003865035	2
GCA_004210255	5
GCA_004340925	5
GCA_004340975	4
GCA_004345255	6
GCA_004793545	5
GCA_005280655	4
GCA_005844305	4
GCA_005844705	3
GCA_005845255	4
GCA_008122485	4
GCA_008123415	4
GCA_008416325	4
GCA_008935055	4
GCA_009663665	4
GCA_009680175	4
GCA_009680195	4
GCA_009680205	4
GCA_009680235	4
GCA_009680245	4
GCA_009680275	4
GCA_009680285	4
GCA_009680315	4
GCA_009680335	4
GCA_009680355	4
GCA_009680365	4
GCA_009680395	4
GCA_009697165	4
GCA_009718345	4
GCA_009718405	4
GCA_009718425	4
GCA_009759525	4
GCA_009875795	6
GCA_009875825	6
GCA_009911035	6
GCA_009911155	6
GCA_009911185	4
GCA_009911195	6
GCA_010206365	6
GCA_010669205	5
GCA_010906925	5
GCA_013299545	6
GCA_013299605	6
GCA_013299645	4
GCA_013299655	4
GCA_013299665	6
GCA_013299675	4
GCA_013299685	6
GCA_013299745	6
GCA_013299755	6
GCA_013299805	4
GCA_013299925	6
GCA_013299965	5
GCA_013300095	6
GCA_013300105	6
GCA_013300315	6
GCA_013300445	4
GCA_013300465	6
GCA_013300505	4
GCA_013300555	4
GCA_013300575	4
GCA_013300605	6
GCA_013300625	4
GCA_013300635	6
GCA_013300655	4
GCA_013300675	4
GCA_013300725	6
GCA_013300745	6
GCA_013300775	4
GCA_013300805	6
GCA_013301405	6
GCA_013301435	6
GCA_013301465	6
GCA_013301475	6
GCA_013301505	6
GCA_013301515	6
GCA_013301525	6
GCA_013301545	6
GCA_013301565	6
GCA_013301605	6
GCA_013302355	4
GCA_013302445	4
GCA_013302455	4
GCA_013302465	4
GCA_013302475	4
GCA_013302525	4
GCA_013302545	4
GCA_013302555	4
GCA_013302565	4
GCA_013302595	4
GCA_013302605	4
GCA_013302645	4
GCA_013302665	4
GCA_013302675	4
GCA_013302685	4
GCA_013302715	4
GCA_013302745	4
GCA_013302755	4
GCA_013302785	4
GCA_013302795	4
GCA_013302815	4
GCA_013302845	4
GCA_013302855	4
GCA_013303175	4
GCA_013303185	4
GCA_013303225	4
GCA_013303775	4
GCA_013303785	4
GCA_013303845	4
GCA_013303865	4
GCA_013303875	4
GCA_013303885	4
GCA_013303905	4
GCA_013303945	4
GCA_013303965	4
GCA_013303995	4
GCA_013304025	4
GCA_013304035	4
GCA_013304125	5
GCA_013304155	5
GCA_013304185	5
GCA_013304205	5
GCA_013304225	5
GCA_013304245	5
GCA_013304275	5
GCA_013304505	4
GCA_013304555	4
GCA_013361125	6
GCA_014131675	4
GCA_014131715	5
GCA_014202115	5
GCA_014202695	2
GCA_014287435	3
GCA_014287515	4
GCA_014287635	4
GCA_014287735	6
GCA_014287855	5
GCA_014290215	4
GCA_014297335	4
GCA_014337155	6
GCA_014337175	6
GCA_014337215	6
GCA_014384925	6
GCA_014384985	4
GCA_014385265	4
GCA_014467075	4
GCA_014982935	4
GCA_015547305	6
GCA_015548065	3
GCA_015548425	6
GCA_015548735	6
GCA_015549075	4
GCA_015549285	6
GCA_015550045	4
GCA_015550485	6
GCA_015550775	4
GCA_015551295	4
GCA_015552445	6
GCA_015552615	6
GCA_015553565	4
GCA_015553595	6
GCA_015554215	6
GCA_015554275	6
GCA_015554465	6
GCA_015554585	4
GCA_015554695	4
GCA_015554785	4
GCA_015555785	4
GCA_015556105	6
GCA_015556185	6
GCA_015556245	4
GCA_015557515	4
GCA_015558055	4
GCA_015558505	6
GCA_015559035	4
GCA_015559645	4
GCA_015560015	4
GCA_015560155	6
GCA_015667215	4
GCA_015669665	4
GCA_015669935	4
GCA_016586355	4
GCA_016586395	4
GCA_016586415	6
GCA_016696785	4
GCA_016901915	1
GCA_016902195	1
GCA_016902535	1
GCA_016904155	6
GCA_016906045	1
GCA_017565785	4
GCA_018140635	4
GCA_018223505	4
GCA_018784685	4
GCA_018784725	4
GCA_900086725	6
GCA_900100095	4
GCA_900100545	4
GCA_900100895	6
GCA_900101325	5
GCA_900101605	6
GCA_900102065	6
GCA_900102235	5
GCA_900102515	6
GCA_900103015	5
GCA_900103495	5
GCA_900103635	6
GCA_900104155	6
GCA_900104335	4
GCA_900105615	1
GCA_900106615	4
GCA_900107245	4
GCA_900107545	5
GCA_900107575	6
GCA_900108105	6
GCA_900109005	4
GCA_900109475	6
GCA_900109715	5
GCA_900110635	6
GCA_900110805	6
GCA_900110975	6
GCA_900111185	6
GCA_900111325	4
GCA_900111635	5
GCA_900112195	6
GCA_900112855	5
GCA_900113385	4
GCA_900113595	6
GCA_900113655	4
GCA_900114405	6
GCA_900115215	4
GCA_900115355	4
GCA_900115365	2
GCA_900115735	6
GCA_900115795	4
GCA_900116395	3
GCA_900116865	6
GCA_900116875	6
GCA_900129945	6
GCA_900141825	4
GCA_900141895	5
GCA_900143205	6
GCA_900168235	6
GCA_900185635	1
GCA_900199395	3
GCA_900199595	6
GCA_900205915	2
GCA_900205965	2
GCA_900209925	4
GCA_900218035	4
GCA_900243045	6
GCA_900248245	6
GCA_900461125	5
GCA_900461315	1
GCA_900537995	4
GCA_900624715	4
GCA_900625025	6
GCA_902167965	4
GCF_000154245	6
GCF_000154305	4
GCF_000154545	4
GCF_000156535	4
GCF_000159055	4
GCF_000466465	6
GCF_000820745	6
GF3HA05001B	6
GF3HA19005B	4
