genome,group,pos
GCA_005844305.fna,Clade1,2936436
GCA_005844305.fna,Clade1,2936556
GCA_005844305.fna,Clade1,2936622
GCA_005844305.fna,Clade1,2936964
GCA_005844305.fna,Clade1,2937024
GCA_005844305.fna,Clade1,2937081
GCA_005844305.fna,Clade1,2938708
GCA_005844305.fna,Clade1,2938897
GCA_005844305.fna,Clade1,2939155
GCA_005844305.fna,Clade1,2939392
GCA_005844305.fna,Clade1,2939419
GCA_005844305.fna,Clade1,2939566
GCA_005844305.fna,Clade1,2939646
GCA_005844305.fna,Clade1,2939668
GCA_005844305.fna,Clade1,2939704
GCA_005844305.fna,Clade1,2939833
GCA_005844305.fna,Clade1,2941358
GCA_005844305.fna,Clade1,2941389
GCA_005844305.fna,Clade1,2941498
GCA_005844305.fna,Clade1,2941499
GCA_005844305.fna,Clade1,2941503
GCA_005844305.fna,Clade1,2941510
GCA_005844305.fna,Clade1,2941515
GCA_005844305.fna,Clade1,2941523
GCA_005844305.fna,Clade1,2941524
GCA_005844305.fna,Clade1,2941528
GCA_005844305.fna,Clade1,2941534
GCA_005844305.fna,Clade1,2941535
GCA_005844305.fna,Clade1,2941540
GCA_005844305.fna,Clade1,2941542
GCA_005844305.fna,Clade1,2941555
GCA_005844305.fna,Clade1,2941561
GCA_005844305.fna,Clade1,2941615
GCA_005844305.fna,Clade1,2941621
GCA_005844305.fna,Clade1,2941627
GCA_005844305.fna,Clade1,2941639
GCA_005844305.fna,Clade1,2941654
GCA_005844305.fna,Clade1,2941693
GCA_005844305.fna,Clade1,2941816
GCA_005844305.fna,Clade1,2941948
GCA_005844305.fna,Clade1,2942757
GCA_005844305.fna,Clade1,2942767
GCA_005844305.fna,Clade1,2942862
GCA_005844305.fna,Clade1,2942905
GCA_005844305.fna,Clade1,2943112
GCA_005844305.fna,Clade1,2943506
GCA_009680195.fna,Clade1,2936622
GCA_009680195.fna,Clade1,2936679
GCA_009680195.fna,Clade1,2936964
GCA_009680195.fna,Clade1,2937024
GCA_009680195.fna,Clade1,2937045
GCA_009680195.fna,Clade1,2937066
GCA_009680195.fna,Clade1,2937075
GCA_009680195.fna,Clade1,2938792
GCA_009680195.fna,Clade1,2938873
GCA_009680195.fna,Clade1,2938897
GCA_009680195.fna,Clade1,2939044
GCA_009680195.fna,Clade1,2939155
GCA_009680195.fna,Clade1,2939392
GCA_009680195.fna,Clade1,2939419
GCA_009680195.fna,Clade1,2939566
GCA_009680195.fna,Clade1,2939646
GCA_009680195.fna,Clade1,2939668
GCA_009680195.fna,Clade1,2939833
GCA_009680195.fna,Clade1,2939845
GCA_009680195.fna,Clade1,2941358
GCA_009680195.fna,Clade1,2941389
GCA_009680195.fna,Clade1,2941498
GCA_009680195.fna,Clade1,2941499
GCA_009680195.fna,Clade1,2941503
GCA_009680195.fna,Clade1,2941510
GCA_009680195.fna,Clade1,2941515
GCA_009680195.fna,Clade1,2941523
GCA_009680195.fna,Clade1,2941524
GCA_009680195.fna,Clade1,2941528
GCA_009680195.fna,Clade1,2941534
GCA_009680195.fna,Clade1,2941535
GCA_009680195.fna,Clade1,2941540
GCA_009680195.fna,Clade1,2941542
GCA_009680195.fna,Clade1,2941555
GCA_009680195.fna,Clade1,2941561
GCA_009680195.fna,Clade1,2941615
GCA_009680195.fna,Clade1,2941621
GCA_009680195.fna,Clade1,2941627
GCA_009680195.fna,Clade1,2941639
GCA_009680195.fna,Clade1,2941654
GCA_009680195.fna,Clade1,2941693
GCA_009680195.fna,Clade1,2941816
GCA_009680195.fna,Clade1,2941948
GCA_009680195.fna,Clade1,2942719
GCA_009680195.fna,Clade1,2942757
GCA_009680195.fna,Clade1,2942767
GCA_009680195.fna,Clade1,2942769
GCA_009680195.fna,Clade1,2942862
GCA_009680195.fna,Clade1,2943015
GCA_009680195.fna,Clade1,2943027
GCA_009680195.fna,Clade1,2943033
GCA_009680195.fna,Clade1,2943040
GCA_009680195.fna,Clade1,2943058
GCA_009680195.fna,Clade1,2943078
GCA_009680195.fna,Clade1,2943097
GCA_009680195.fna,Clade1,2943106
GCA_009680195.fna,Clade1,2943112
GCA_009680195.fna,Clade1,2943175
GCA_009680195.fna,Clade1,2943270
GCA_009680195.fna,Clade1,2943278
GCA_009680195.fna,Clade1,2943283
GCA_009680195.fna,Clade1,2943301
GCA_009680195.fna,Clade1,2943302
GCA_009680195.fna,Clade1,2943303
GCA_009680195.fna,Clade1,2943305
GCA_009680195.fna,Clade1,2943309
GCA_009680195.fna,Clade1,2943311
GCA_009680195.fna,Clade1,2943319
GCA_009680195.fna,Clade1,2943376
GCA_009680195.fna,Clade1,2943415
GCA_009680195.fna,Clade1,2943506
