Gene,GCA_000145035,GCA_000420965,GCA_000420985,GCA_000423985,GCA_000424405,GCA_000424425,GCA_000424465,GCA_000424565,GCA_000621465,GCA_000622085,GCA_000686065,GCA_000686965,GCA_001858005,GCA_003175155,GCA_900101605,GCA_900110805,GCA_900111185,GCA_900115735,GCA_900129945,GCA_900143205
tpiA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gdh,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fcl_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
rpsH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1384,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1385,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
rpsU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
rpmD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
tadA_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
prs_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
aspS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ybiT_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ppdK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
mgsA_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ilvE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_217,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
rplL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_225,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
metK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
rpsJ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
rpsQ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
rplN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
rplE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
infA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
rpsL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cspA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
rpmH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
rpsK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
secA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
rplB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
rpsI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
groL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
rpmG2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
nrdD_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_538,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
msmX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
rpsS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
rpsN1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
rpsM,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
rpoA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
rpmA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
tuf,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
rpsG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
rpsT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gap,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
group_111,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
purE,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
group_544,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1
group_105,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1
flr_1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0
lolD,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0
trmO,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
pgk,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1
hdfR_2,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1
aptB,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1
group_233,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1
ldh,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1
group_545,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1
aptA,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1
def2,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0
COQ3_2,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1
group_566,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0
rsxB_1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,0
group_1086,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0
group_12,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,1,1,1,0
crcB_2,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,0,0
fldZ,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0
pspB_2,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1
group_24,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0
nap,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,0,1
ywqN,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0
tcdA,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0
cysL,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0
group_55,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0
entS,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,1,1,1,1
group_9,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0
pckA,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1
group_1411,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0
group_1786,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,1,1
nudC_1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0
gpmA_1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,0,0,1
group_234,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0
group_236,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0
group_2453,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,1,1
group_325,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0
mta,0,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0
group_3972,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,1,1
group_494,1,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0
metE,0,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,0,1,0
group_795,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0
murJ_2,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0
group_845,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,0,1,0
group_109,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0
oppD_3,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1
group_13,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
aadK,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1
lacZ_3,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
bglA,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
group_1650,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0
melC_3,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1
ngcF,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1
