#heatmap
!legendTitle	Propionate pathway-1
!showLegends	1
#!defaultStrokeColor	pink
#!defaultStrokeWidth	2
!colorgradient	white,#9970ab
!colorgradientMarkLabel	0,1
# -- heatmap column labels --
!showHeatMapColumnLabel	1
!heatmapColumnLabels	pathway1
# -- heatmap --
!heatmap	margin=0,colwidth=20,roundedcorner=0
# -- show data value
!showdataValue	show=0,fontsize=12,fontitalic=0,textalign=start
1095771.3	0
11861_6_57	0
11861_6_58	0
11861_6_59	1
11861_6_64	1
11861_6_91	0
11861_6_93	1
1232442.3	1
1232444.3	0
1232447.3	1
1232448.3	1
1232450.3	1
1232452.3	0
1232453.3	1
1232457.3	0
1232458.3	0
12718_7_36	0
12718_7_41	1
12718_7_47	1
12718_7_51	1
12718_7_52	1
12718_7_53	0
12718_7_63	0
12718_7_64	0
12718_7_73	0
12718_7_76	0
12718_7_79	1
12718_7_82	1
12718_7_83	0
12718_7_86	0
12718_7_92	0
12718_7_93	0
12718_7_94	0
13154_4_45	0
13414_6_1	1
13414_6_15	0
13414_6_2	0
13414_6_29	0
13414_6_3	0
13414_6_30	0
13414_6_31	0
13414_6_65	1
13414_6_66	1
13414_6_67	0
13414_6_68	0
13414_6_69	0
13414_6_70	0
13470_2_56	1
13470_2_57	0
13470_2_87	0
13470_2_89	0
13470_2_90	1
13470_2_91	1
13470_2_92	0
13470_2_93	0
13670_3_12	1
14207_6_11	1
14207_6_14	1
14207_7_13	0
14207_7_32	0
14207_7_33	0
14207_7_42	0
14207_7_43	0
14207_7_45	0
14207_7_6	0
14207_7_87	0
1519438.3	1
15841_8_85	1
1715004.3	1
18048_1_42	1
18048_1_58	0
18048_1_59	0
18048_1_60	1
18048_1_63	1
18048_1_65	0
18048_1_69	0
18048_1_72	1
18048_1_75	0
18048_1_81	0
18048_1_83	0
18048_1_84	0
18048_1_85	0
18048_1_86	1
18048_1_87	0
18048_1_92	0
18048_1_94	0
18048_2_58	0
18048_2_59	0
18048_2_60	1
18048_2_63	1
18048_2_65	0
18048_2_69	0
18048_2_72	1
18048_2_75	0
18048_2_81	0
18048_2_83	0
18048_2_84	0
18048_2_85	0
18048_2_86	1
18048_2_87	0
18048_2_88	0
18048_2_92	0
18048_2_94	0
18391_1_1	0
18391_1_2	1
20287_6_15	0
20287_6_17	0
20287_6_18	0
20287_6_20	0
20287_6_23	0
20287_6_25	1
20287_6_28	0
20287_6_32	1
20287_6_33	1
20287_6_34	0
20287_6_36	1
20287_6_41	1
20287_6_43	1
20287_6_44	0
20287_6_48	0
20287_6_49	1
20287_6_55	0
20287_6_56	1
20287_6_62	0
20287_6_63	0
20287_6_72	0
20287_6_76	1
20287_6_77	1
20287_6_84	0
20287_6_88	0
20287_6_91	0
20298_3_34	0
20298_3_35	0
20298_3_48	1
20298_3_59	1
20298_3_62	1
20298_3_65	0
20298_3_81	0
20298_3_9	1
20427_4_23	0
20427_4_25	0
20427_4_28	0
2067550.5	1
21673_4_12	0
21673_4_18	1
21673_4_19	1
21673_4_25	0
21673_4_3	0
21673_4_30	1
21673_4_31	1
21673_4_35	1
21673_4_37	0
21673_4_38	1
21673_4_40	1
21673_4_53	0
21673_4_60	1
21673_4_71	0
21673_4_8	0
21673_4_81	0
21673_4_84	0
21673_4_87	0
245014.3	0
411486.3	0
457412.4	0
59620.57	0
657323.3	0
8080_1_69	0
8080_1_70	1
8080_1_72	1
8080_1_93	0
8080_1_94	0
AF02-12	0
AF02-29	0
AF02-42	0
AF02-47	0
AF04-15	0
AF04-18B	0
AF04-45	1
AF05-27	1
AF05-5	1
AF06-14	0
AF06-19	0
AF07-16	0
AF07-16B	0
AF09-21A	0
AF10-20	0
AF12-11	0
AF12-17LB	0
AF12-19	0
AF12-28	0
AF12-30	0
AF12-40	0
AF12-41	0
AF12-5	1
AF12-8	0
AF13-14A	0
AF13-16	1
AF13-28	0
AF13-37	0
AF14-10	0
AF14-18	1
AF14-23	1
AF14-40	0
AF14-5	0
AF14-52	1
AF14-9AC	0
AF15-17LB	0
AF15-21	0
AF15-31	0
AF15-41	0
AF15-49	0
AF15-50	0
AF15-6B	0
AF16-15	0
AF16-22	1
AF16-25	0
AF16-31	0
AF16-48	0
AF16-5	1
AF17-12	0
AF17-13	0
AF17-2	0
AF17-21AC	0
AF17-22AC	1
AF17-27	0
AF17-7	0
AF17-8AC	1
AF17-9LB	0
AF18-12LB	0
AF18-16LB	0
AF18-18LB	0
AF18-22	0
AF18-27	1
AF18-31LB	0
AF18-47	0
AF18-48	0
AF19-1	0
AF19-10LB	1
AF19-12LB	0
AF19-13	0
