TranscriptId,gene,type,num
TRANSCRIPT_GCA_000020605_01461,comEC,HIGH_stop_gained,1
TRANSCRIPT_GCA_000020605_01359,smc_2,HIGH_stop_gained,0
TRANSCRIPT_GCA_000020605_00906,purR,HIGH_stop_gained,1
TRANSCRIPT_GCA_000020605_00480,hypothetical protein_496331:498517,HIGH_start_lost,2
TRANSCRIPT_GCA_000020605_00945,hypothetical protein_947751:949415,HIGH_stop_gained,1
TRANSCRIPT_GCA_000020605_01663,hypothetical protein_1704326:1707871,HIGH_stop_gained,0
TRANSCRIPT_GCA_000020605_01220,hypothetical protein_1231623:1232582,HIGH_stop_gained,0
TRANSCRIPT_GCA_000020605_02795,bceB,HIGH_stop_gained,1
TRANSCRIPT_GCA_000020605_01229,hypothetical protein_1241157:1243955,HIGH_stop_gained,0
TRANSCRIPT_GCA_000020605_01423,addA,HIGH_stop_gained,0
TRANSCRIPT_GCA_000020605_01461,comEC,MODERATE_missense_variant,144
TRANSCRIPT_GCA_000020605_01359,smc_2,MODERATE_missense_variant,119
TRANSCRIPT_GCA_000020605_00906,purR,MODERATE_missense_variant,113
TRANSCRIPT_GCA_000020605_00480,hypothetical protein_496331:498517,MODERATE_missense_variant,100
TRANSCRIPT_GCA_000020605_00945,hypothetical protein_947751:949415,MODERATE_missense_variant,96
TRANSCRIPT_GCA_000020605_01663,hypothetical protein_1704326:1707871,MODERATE_missense_variant,90
TRANSCRIPT_GCA_000020605_01220,hypothetical protein_1231623:1232582,MODERATE_missense_variant,88
TRANSCRIPT_GCA_000020605_02795,bceB,MODERATE_missense_variant,86
TRANSCRIPT_GCA_000020605_01229,hypothetical protein_1241157:1243955,MODERATE_missense_variant,81
TRANSCRIPT_GCA_000020605_01423,addA,MODERATE_missense_variant,74
